'a'a'a 啊啊啊
'yi'feng'yi'shang 移风易尚
'yi'feng'yi'su 移风易俗
'yi'feng'yu'cai 遗风余采
'yi'feng'yu'jiao 遗风余教
'yi'feng'yu'jiao 遗风馀教
'yi'feng'yu'lie 遗风余烈
'yi'feng'yu'lie 遗风馀烈
'yi'feng'yu'sai 遗风馀思
'yi'feng'yu'shi 遗风余泽
'yi'feng'yu'si 遗风余思
'yi'feng'yu'su 遗风馀俗
'yi'feng'yu'su 遗风余俗
'yi'feng'yu'xi 遗风余习
'yi'feng'yu'xi 遗风馀習
'yi'feng'yu'xiang 遗风余象
'yi'feng'yu'xiang 遗风馀象
'yi'feng'yu'yun 遗风余韵
'yi'feng'yu'yun 遗风馀韵
'yi'feng'yu'ze 遗风馀泽
'yi'feng'zhen'su 移风振俗
'yi'fen'shou'huo 一分收获
'yi'fen'tian'xiong 义愤填胸
'yi'fen'tian'ying 义愤填膺
'yi'fen'wei'er 一分为二
'yi'fen'yi'hao 一分一毫
'yi'fen'yi'li 一分一厘
'yi'fen'yu'rong 遗芬馀荣
'yi'fo'chu'shi 一佛出世
'yi'fo'chu'shi'er'fo'nie'pan 一佛出世二佛涅槃
'yi'fo'chu'shi'er'fo'sheng'tian 一佛出世二佛升天
'yi'fu'dang'guan 一夫当关
'yi'fu'dang'guan'wan'fu'mo'kai 一夫当关万夫莫开
'yi'fu'de'dao 一夫得道
'yi'fu'dei'qing 一夫得情
'yi'fu'feng'tun 蚁附蜂屯
'yi'fu'he'ge 一夫荷戈
'yi'fu'he'ji 一夫荷戟
'yi'fu'jie'fu 义夫节妇
'yi'fu'ji'lei 一副急泪
'yi'fu'ji'wei 以附骥尾
'yi'fu'ka'er 伊夫卡尔
'yi'fu'ke'shou 一夫可守
'yi'fu'ru'ci 亦复如此
'yi'fu'ru'shi 亦复如是
'yi'fu'she'si 一夫舍死
'yi'fu'yang'nong 以副养农
'yi'fu'ying'cu 蚁附蝇趋
'yi'fu'ying'ji 蚁附蝇集
'yi'fu'zhi'yong 一夫之勇
'yi'fu'zhi'yong 一夫之用
'yi'fu'zhong'xiu 一傅众咻
'yi'gai'er'lun 一概而论
'yi'gai'er'yan 一概而言
'yi'gai'gu'zhe 一改故辙
'yi'gai'mo'sha 一概抹煞
'yi'gai'mo'sha 一概抹杀
'yi'gan'er'cheng 一乾二净
'yi'gan'er'jing 一干二净
'yi'gan'feng'yue 一竿风月
'yi'gan'ren'fan 一干人犯
'yi'gan'yi'fang 一干一方
'yi'gan'zi'tong'dao'de 一竿子捅到底
'yi'gao 伊皋
'yi'gao'dan'da 艺高胆大
'yi'gao'dan'zhuang 艺高胆壮
'yi'gao'dao'di 一篙到底
'yi'gao'er'di 一高二低
'yi'gao'ren'dan'da 艺高人胆大
'yi'ge'ban'ge 一个半个
'yi'ge'ban'ge 一箇半箇
'yi'ge'ba'zhang'pai'bu'xiang 一个巴掌拍不响
'yi'ge'bi'kong'chu'qi 一个鼻孔出气
'yi'ge'chang'hong'lian'yi'ge'chang'bai'lian 一个唱红脸一个唱白脸
'yi'ge'chong'mi 以戈舂米
'yi'ge'chong'shu 以戈舂黍
'yi'ge'ding'lia 一个顶俩
'yi'ge'dui'xiang 一个对象
'yi'ge'gao'zi 一个稿子
'yi'ge'luo'bo'yi'ge'keng 一个萝卜一个坑
'yi'gen 伊根
'yi'ge'na'wu'si'fu'yin 伊格纳乌斯符印
'yi'ge'na'zi 伊格纳兹
'yi'gen'cai 一根材
'yi'gen'huan'xie 移根换叶
'yi'gen'jie'xie 移根接叶
'yi'gen'yi'ban 一根一板
'yi'ge'ren'de'xing'li 一个人的行李
'yi'ge'xin'yan 一个心眼
'yi'gong'bu'guo 以功补过
'yi'gong'dai'zhen 以工代赈
'yi'gong'fu'guo 以功覆过
'yi'gong'huan'yu 移宫换羽
'yi'gong'mie'si 以公灭私
'yi'gong'shu'zui 以功赎罪
'yi'gong'wei'cui 倚红偎翠
'yi'gong'wei'shou 以攻为守
'yi'gong'xiao'jiao 以宫笑角
'yi'gong'yi'liao 一工一料
'yi'gong'yi'yu 移宫易羽
'yi'gou 异构
'yi'gou'ji'qun 异构机群
'yi'gou'ji'suan 异构计算
'yi'gou'xing'xi'tong 异构型系统
'yi'gou'zhu'ti 异构主体
'yi'gu 遗骨
'yi'gua'di'zhong 以寡敌众
'yi'gua'gong'shi 一瓜共食
'yi'guai'yi'zhang'xie 一掴一掌血
'yi'guan'ban'zhi 一官半职
'yi'guan'bu'lv 以冠补履
'yi'guan'bu'zheng 衣冠不整
'yi'guan'chu'chu 衣冠楚楚
'yi'guan'fu'cou 衣冠辐辏
'yi'guan'fu'cou 衣冠辐凑
'yi'guan'fu'mu 依丱附木
'yi'guang'cai'shu 意广才疏
'yi'guan'he'yi 衣冠赫奕
'yi'guan'hou'xiao 以观后效
'yi'guan'ji'chu 衣冠济楚
'yi'guan'ji'ji 衣冠济济
'yi'guan'kui'bao 以管窥豹
'yi'guan'kui'tian 以管窥天
'yi'guan'kui'tian 以筦窥天
'yi'guan'lan'lv 衣冠蓝缕
'yi'guan'li'xing 易管理性
'yi'guan'li'yue 衣冠礼乐
'yi'guan'mu'hou 衣冠沐猴
'yi'guan'nan'du 衣冠南渡
'yi'guan'qi'chu 衣冠齐楚
'yi'guan'qin'shou 衣冠禽兽
'yi'guan'sao'di 衣冠扫地
'yi'guan'sheng'shi 衣冠盛事
'yi'guan'shen'wei 衣冠甚伟
'yi'guan'tu'xiao 衣冠土枭
'yi'guan'wan'ji 一贯万机
'yi'guan'wen'wu 衣冠文物
'yi'guan'xiao'jing 衣冠枭獍
'yi'guan'xie'shi 倚官挟势
'yi'guan'xu'yu 衣冠绪余
'yi'guan'yi'ji 一官一集
'yi'guan'you'meng 衣冠优孟
'yi'guan'yun'ji 衣冠云集
'yi'guan'zhang'shi 倚官仗势
'yi'guan'zhi'tu 一棺之土
'yi'gu'bu'deng 一谷不登
'yi'gu'bu'deng 一穀不登
'yi'gu'bu'sheng 一谷不升
'yi'gu'bu'sheng 一穀不升
'yi'gu'er'qin 一鼓而擒
'yi'gu'er'xia 一鼓而下
'yi'gu'fang'jin 以古方今
'yi'gu'fei'jin 以古非今
'yi'gui 衣柜
'yi'gui'dao'shan 已归道山
'yi'gui'shu'tu 异轨殊途
'yi'gui'tong'feng 一轨同风
'yi'gui'wei'dian 以规为滇
'yi'gui'wei'tian 以规为瑱
'yi'gui'yi'he 一龟一鹤
'yi'gui'yi'shen 疑鬼疑神
'yi'gui'zhang 役鬼杖
'yi'gu'long'zong 一股拢总
'yi'gu'nao 一股脑
'yi'gu'nao'er 一股脑儿
'yi'gu'nao'er 一古脑儿
'yi'gu'nao'zi 一股脑子
'yi'gun'da'yi'chuan 一棍打一船
'yi'gun'zi'da'si 一棍子打死
'yi'guo'bu'fu 一过不父
'yi'guo'dong'zhong 移国动众
'yi'guo'duan 一锅端
'yi'guo'jin'zi'fu 一国尽紫服
'yi'guo'li'min 益国利民
'yi'guo'nao'zi 一裹脑子
'yi'guo'san'gong 一国三公
'yi'gu'qian'jin 一顾千金
'yi'gu'qing'cheng 一顾倾城
'yi'gu'qing'ren 一顾倾人
'yi'gu'qu'yi 以骨去蚁
'yi'gu'wei'jian 以古为鉴
'yi'gu'wei'jing 以古为镜
'yi'gu'yi'ban 一鼓一板
'yi'gu'yin'gu 以瞽引瞽
'yi'gu'yu'jin 以古喻今
'yi'gu'zhi'jia 一顾之价
'yi'gu'zhi'jin 以古制今
'yi'gu'zhi'rong 一顾之荣
'yi'gu'zhi'xue 遗骨之穴
'yi'gu'zuo'qi 一鼓作气
'yi'hai'en'shan 义海恩山
'yi'hai'wu'qiong 遗害无穷
'yi'hai'wu'qiong 贻害无穷
'yi'han'bao'sun 饴含抱孙
'yi'hang'tian'jie 溢巷填街
'yi'han'ru'ci 一寒如此
'yi'hao'bu'ba 一毫不拔
'yi'hao'bu'cha 一毫不差
'yi'hao'bu'gou 一毫不苟
'yi'hao'bu'qu 一毫不取
'yi'hao'bu'ran 一毫不染
'yi'hao'mo'qu 一毫莫取
'yi'hao'qian'li 一毫千里
'yi'he 义和
'yi'he'di'zhi 伊何底止
'yi'he'er'jiu 一呵而就
'yi'he'huai'bao 衣褐怀宝
'yi'he'hua'ting 忆鹤华亭
'yi'hei'wei'bai 以黑为白
'yi'he'li'shi 以核理实
'yi'hen'bai'hen 一狠百狠
'yi'hen'er'hen 一狠二狠
'yi'hen'qian'gu 遗恨千古
'yi'hen'zhong'tian 遗恨终天
'yi'he'qing'tou 意合情投
'yi'he'su 一盒酥
'yi'he'xi'xin 以荷析薪
'yi'he'yi'qiu 一壑一丘
'yi'he'zai'li 一合再离
'yi'he'zhi'ci 一何至此
'yi'hong'er'ji 一哄而集
'yi'hong'er'qi 一哄而起
'yi'hong'er'qi 一轰而起
'yi'hong'er'san 一轰而散
'yi'hong'er'san 一哄而散
'yi'hong'er'shang 一哄而上
'yi'hong'qing'shui 一泓清水
'yi'hua'du'fang 一花独放
'yi'hua'huan'liu 移花换柳
'yi'huai'chou'xu 一怀愁绪
'yi'huai'er'lun 一褱而论
'yi'hua'jie'mu 移花接木
'yi'hua'kai'tian 一画开天
'yi'huang'liang'she 一簧两舌
'yi'huang'quan 忆黄犬
'yi'huan'jiu'ji 移缓就急
'yi'huan'wei'li 以患为利
'yi'huan'wu'qiong 贻患无穷
'yi'huan'wu'qiong 遗患无穷
'yi'huan'yi'bao 一还一报
'yi'hua'qi'su 一化齐俗
'yi'hua'wu'ye 一花五叶
'yi'hua'zhi'hua 以华制华
'yi'hua'zhi'hua 以华治华
'yi'hu'bai'he 一呼百和
'yi'hu'bai'nuo 一呼百诺
'yi'hu'bai'ying 一呼百应
'yi'hu'bu'he 一虎不河
'yi'hu'er'ji 一呼而集
'yi'hui'chu'shou 一麾出守
'yi'hui'er'cheng 一挥而成
'yi'hui'er'jiu 一挥而就
'yi'hui'jiu'zhi 一挥九制
'yi'hui'li'jiu 一挥立就
'yi'hui'qian'jin 一挥千金
'yi'hui'qian'li 一溃千里
'yi'hui'qi'hua 异卉奇花
'yi'hui'wei'fa 以毁为罚
'yi'hui'yi'ming 一晦一明
'yi'hui'yu'ze 遗惠馀泽
'yi'hu'ji'ji 一呼即集
'yi'hu'liang'zhou 一斛凉州
'yi'hu'lu'hua'piao 依葫芦画瓢
'yi'hu'nan'di'zhong'quan 一虎难敌众犬
'yi'hun'tang'zi 一混汤子
'yi'huo 一火
'yi'huo'bu'jie 疑惑不解
'yi'huo'dao'ku'sang 贻祸到枯桑
'yi'huo'jiu'huo 以火救火
'yi'huo'ku'sang 移祸枯桑
'yi'huo'qu'e 以火去蛾
'yi'huo'wu'qiong 遗祸无穷
'yi'huo'yu'ku'sang 移祸于枯桑
'yi'huo'yu'ren 移祸于人
'yi'huo'zhi'fei 以火止沸
'yi'huo'zhi'wei 一镬之味
'yi'hu'qian'jin 一壶千金
'yi'hu'qian'jin 一壸千金
'yi'hu'san'dian 一呼三颠
'yi'hu'xun'chang 异乎寻常
'yi'hu'zai'nuo 一呼再喏
'yi'hu'zhi'ye 一狐之腋
'yi'hu'zhi'ye 一狐之掖
'yi'hu'zhong'liu 一壶中流
'yi'hu'zuo'xiong 衣狐坐熊
'yi'ji 仪祭
'yi'ji 翼击
'yi'jia 一甲
'yi'jia'chun 一家春
'yi'jia'fan'dai 衣架饭袋
'yi'jia'fan'nang 衣架饭囊
'yi'jia'gu'rou 一家骨肉
'yi'jia'juan'shu 一家眷属
'yi'jia'lao'xiao 一家老小
'yi'jia'luan'zhen 以假乱真
'yi'jian'bu'lv 以剑补履
'yi'jian'chuan'xin 一箭穿心
'yi'jiang'cheng'gong'mo'gu'ku 一将成功万骨枯
'yi'jiang'fu'ruo 抑彊扶弱
'yi'jiang'gong'cheng'wan'gu'ku 一将功成万骨枯
'yi'jiang'nan'qiu 一将难求
'yi'jiang'ren'su 义浆仁粟
'yi'jiang'shi'bing 一浆十饼
'yi'jian'le'ran 一见了然
'yi'jian'liang'chu 一肩两锄
'yi'jian'qing'dao 一见倾倒
'yi'jian'qing'xin 一见倾心
'yi'jian'ru'gu 一见如故
'yi'jian'ru'jiu 一见如旧
'yi'jian'shang'duo 一箭上垛
'yi'jian'she'liang'duo 一箭射两垛
'yi'jian'shuang'diao 一箭双雕
'yi'jian'xue'gui 以贱雪贵
'yi'jian'yan'gai 意简言赅
'yi'jian'yan'wai 意见言外
'yi'jian'yi'she 一箭易折
'yi'jian'yu'fan 以简御繁
'yi'jian'yu'fan 以简驭繁
'yi'jian'zhi'chou 一箭之仇
'yi'jian'zhi'di 一箭之地
'yi'jian'zhi'fan 以煎止燔
'yi'jian'zhi'ren 一剑之任
'yi'jian'zhi'yao 一箭之遥
'yi'jian'zhong'qing 一见钟情
'yi'jiao'bu'yi 一脚不移
'yi'jiao'tou'qi 以胶投漆
'yi'jiao'tu 异教徒
'yi'jiao'tu'de'lao'yin 异教徒的烙印
'yi'jiao'tu'si'ka'li'si 异教徒司卡利斯
'yi'jiao'yang'zhou'meng 一觉扬州梦
'yi'jiao'zuo'mei 倚姣作媚
'yi'jia'shou'zhi'lao 一假手之劳
'yi'jia'wu'er 一家无二
'yi'jia'yi'huo 一家一火
'yi'jia'yi'ji 一家一计
'yi'jia'yi'ming 一甲一名
'yi'jia'yi'shi 宜家宜室
'yi'jia'zhang'ju 一家章句
'yi'jia'zhi'ci 一家之辞
'yi'jia'zhi'ji 一家之计
'yi'jia'zhi'le 宜家之乐
'yi'jia'zhi'lun 一家之论
'yi'jia'zhi'shuo 一家之说
'yi'jia'zhi'xue 一家之学
'yi'jia'zhi'yan 一家之言
'yi'jia'zhi'zhang 一家之长
'yi'jia'zhi'zhu 一家之主
'yi'jia'zhi'zuo 一家之作
'yi'ji'bu'cheng 一计不成
'yi'ji'dai'zhan 以计代战
'yi'ji'duo'ren 以己度人
'yi'jie 艺界
'yi'jie'ban'ji 一阶半级
'yi'jie'ban'zhi 一阶半职
'yi'jie'bu'gou 一介不苟
'yi'jie'bu'qu 一介不取
'yi'jie'bu'ru'yi'jie 一解不如一解
'yi'jie'can'shu'lian'xu 一阶参数连续
'yi'jie'dao'xuan 以解倒悬
'yi'jie'ji'he'lian'xu 一阶几何连续
'yi'jie'jin'lan 义结金兰
'yi'jie'ju 一阶矩
'yi'jie'liang'hang 一街两巷
'yi'jie'li'lun 一阶理论
'yi'jie'luo'ji 一阶逻辑
'yi'jie'mei'shou 以介眉寿
'yi'jie'ru'jiu 一接如旧
'yi'jie'ru'sheng 一介儒生
'yi'jie'shu'sheng 一介书生
'yi'jie'wei'zhi 以讦为直
'yi'jie'wu'fu 一介武夫
'yi'jie'xing'li 一介行李
'yi'jie'xing'ren 一介行人
'yi'jie'yao'shi 异界药师
'yi'jie'ye'sheng 一介野生
'yi'jie'yi'hang 一节一行
'yi'jie'zhi'cai 一介之才
'yi'jie'zhi'fu 一介之夫
'yi'jie'zhi'fu 一介之辅
'yi'jie'zhi'shan 一介之善
'yi'jie'zhi'shi 一介之士
'yi'jie'zhi'shi 一介之使
'yi'ji'feng'cuan 蚁集蜂攒
'yi'ji'fen'zi 异己分子
'yi'ji'hai'pao 仪祭海袍
'yi'ji'hui'yi'lu 艺妓回忆录
'yi'ji'hun'hun'shi'ren'zhao'zhao 以己昏昏使人昭昭
'yi'ji'ji'hui 一击即溃
'yi'ji'jin 壹基金
'yi'ji'liang'bao 一饥两饱
'yi'ji'lv'ren 以己律人
'yi'ji'mei'hua 驿寄梅花
'yi'jin 铱金
'yi'jing'bang'zhu 依经傍注
'yi'jing'bang'zhu 依经傍註
'yi'jing'fei'xiao 一惊非小
'yi'jing'liu'sui 一茎六穗
'yi'jing'rong'che 意境融彻
'yi'jing'ti'xian 仪静体闲
'yi'jin'guo'xiang 衣锦过乡
'yi'jin'gu'xiang 衣锦故乡
'yi'jing'xiao'you 以儆效尤
'yi'jing'yang'qi 颐精养气
'yi'jing'yang'shen 颐精养神
'yi'jing'yi'cao 一茎一草
'yi'jing'zhao'huan 一经召唤
'yi'jin'huan'xiang 衣锦还乡
'yi'jin'jing 易筋经
'yi'jin'jiong'yi 衣锦褧衣
'yi'jin'rong'gui 衣锦荣归
'yi'jin'shang'jiong 衣锦尚絅
'yi'jin'shi'rou 衣锦食肉
'yi'jin'wei'tui 以进为退
'yi'jin'wu'chi 以尽吾齿
'yi'jin'ye'xing 衣锦夜行
'yi'jin'ye'you 衣锦夜游
'yi'jin'zhi'feng 一金之俸
'yi'jin'zhi'rong 衣锦之荣
'yi'jin'zhi'yuan 以近知远
'yi'jin'zhou'hang 衣锦昼行
'yi'jin'zhou'you 衣锦昼游
'yi'ji'ren'zhi'lao 以及人之老
'yi'ji'shen'chan 意忌信谗
'yi'ji'shen'chan 亿忌信谗
'yi'ji'tan'xu 遗迹谈虚
'yi'jiu'hang'li 以酒行礼
'yi'jiu'jiao'chou 以酒浇愁
'yi'jiu'jie'cheng 以酒解酲
'yi'jiu'jie'xing 以酒解醒
'yi'jiu'san'fen'zui 倚酒三分醉
'yi'jiu'shou'er 一就手儿
'yi'jiu'you'chai'shao 依旧有柴烧
'yi'jiu'zhi'ke 饮鸩止渴
'yi'ji'wei'shou 以计为首
'yi'ji'wu'cheng 一技无成
'yi'ji'xin'mang 意急心忙
'yi'ji'yan'chi 以疾掩迟
'yi'ji'yang'yang'niao 以己养养鸟
'yi'ji'yi'gu 艺伎遗骨
'yi'ji'yi'ji 一继一及
'yi'ji'zhi'chang 一技之长
'yi'ji'zhi'jian 一己之见
'yi'ji'zhi'shan 一技之善
'yi'ji'zhi'si 一己之私
'yi'ji'zhi'wei 一技之微
'yi'ji'zhi'xin 以己之心
'yi'ji'zhi'xin'duo'ren'zhi'fu 以己之心度人之腹
'yi'ji'zhi'xin'duo'ren'zhi'xin 以己之心度人之心
'yi'ju 蚁聚
'yi'ju'cheng'ming 一举成名
'yi'ju'cheng'ming'tian'xia'wen 一举成名天下闻
'yi'ju'cheng'ming'tian'xia'zhi 一举成名天下知
'yi'ju'chong'xiao 一举冲霄
'yi'jue'bu'xing 一蹶不兴
'yi'jue'bu'zhen 一蹶不振
'yi'jue'ci'xiong 一决雌雄
'yi'jue'hou'huan 以绝后患
'yi'jue'lan'lv 衣屩蓝缕
'yi'jue'qian'jin 一攫千金
'yi'jue'sheng'fu 一决胜负
'yi'jue'sun'mou 贻厥孙谋
'yi'ju'feng'cuan 蚁聚蠭攒
'yi'ju'feng'cuan 蚁聚蜂攒
'yi'ju'feng'tun 蚁聚蜂屯
'yi'ju'ku'gu 一聚枯骨
'yi'ju'liang'bian 一举两便
'yi'ju'liang'de 一举两得
'yi'ju'liang'li 一举两利
'yi'ju'liang'qu 一举两取
'yi'ju'liang'quan 一举两全
'yi'ju'liang'shi 一举两失
'yi'jun 异军
'yi'jun'te'qi 异军特起
'yi'jun'tu'qi 异军突起
'yi'ju'qian'li 一举千里
'yi'ju'san'fan 一举三反
'yi'ju'shan 蚁聚山
'yi'ju'shou'li 一举手力
'yi'ju'shou'zhi'lao 一举手之劳
'yi'ju'wan'li 一举万里
'yi'ju'yi'dong 一举一动
'yi'ju'zhi'bing 蚁聚之兵
'yi'ju'zhuang'dao'qiang 一句撞倒墙
'yi'kai'wen'jian 已开文件
'yi'ke 揖客
'yi'ke'bu'fan'er'zhu 一客不犯二主
'yi'ke'bu'fan'er'zhu 一客不烦二主
'yi'ke'bu'fan'liang'jia 一客不烦两家
'yi'ke'fu'ma 以渴服马
'yi'ke'fu'zhou 亦可覆舟
'yi'ke'lu'de 伊克鲁德
'yi'ke'qian'jin 一刻千金
'yi'ke'sa'er 伊克萨尔
'yi'kong'bu'da 一孔不达
'yi'kong'yi'bang 一空依傍
'yi'kong'zhi'jian 一孔之见
'yi'kou'bu'neng'zhu'liang'chi 一口不能著两匙
'yi'kou'chang'zhai 一口长斋
'yi'kou'chi'ge'pang'zi 一口吃个胖子
'yi'kou'dao'po 一口道破
'yi'kou'hu'chai 一口胡柴
'yi'kou'liang'chi 一口两匙
'yi'kou'san'she 一口三舌
'yi'kou'song'ge 一口颂歌
'yi'kou'suo'di 一口所敌
'yi'kou'tong'ci 异口同辞
'yi'kou'tong'sheng 一口同声
'yi'kou'tong'sheng 异口同声
'yi'kou'tong'yin 一口同音
'yi'kou'tong'yin 异口同音
'yi'kou'tong'yun 异口同韵
'yi'kou'wen'xin 以口问心
'yi'kou'xi'jin'xi'jiang'shui 一口吸尽西江水
'yi'kou'yao'ding 一口咬定
'yi'kou'yi'sheng 一口一声
'yi'kou'yi'shi 易口以食
'yi'kou'yi'yan 异口一言
'yi'kuai 忆鲙
'yi'kuai'shi'tou'luo'di 一块石头落地
'yi'kuai'shi'tou'luo'le'di 一块石头落了地
'yi'kuai'xian'du 以快先睹
'yi'kuai'yan'lun 以快言论
'yi'kuan'dai'song 衣宽带松
'yi'kuan'fu'min 以宽服民
'yi'kuang'bu'dai 以匡不逮
'yi'kuang'da'zhi 意况大旨
'yi'kuang'jiu'he 一匡九合
'yi'kuang'tian'xia 一匡天下
'yi'kui 翼盔
'yi'kui'er'zu 一夔而足
'yi'kui'ru'xie 一溃如泄
'yi'kui'shi'qi 一馈十起
'yi'kui'shu'hai 蚁溃鼠骇
'yi'kui'yi'qi 一夔一契
'yi'kui'yi'zu 一夔已足
'yi'kui'zhang'jiang'he 一篑障江河
'yi'kui'zhi'gong 一篑之功
'yi'kui'zhi'xin 一篑之衅
'yi'kui'zi'zu 一夔自足
'yi'kuo'chong'xing 易扩充性
'yi'kuo'suo'xing 易扩缩性
'yi'kuo'zhan'de 易扩展的
'yi'kuo'zhan'xing 易扩展性
'yi'ku'si'tian 忆苦思甜
'yi'lai'bao'chi 依赖保持
'yi'lai'bian 依赖边
'yi'lai'en 伊莱恩
'yi'lai'er'qu 一来二去
'yi'lai'er'wang 一来二往
'yi'lai'fang 依赖方
'yi'lai'hu 依赖弧
'yi'lai'ji'de'fu'gai 依赖集的覆盖
'yi'lai'ji'de'zui'xiao'fu'gai 依赖集的最小覆盖
'yi'lai'ji'de'zui'you'fu'gai 依赖集的最优覆盖
'yi'lai'shen'shou 衣来伸手
'yi'lai'shen'shou'fan'lai'zhang'kou 衣来伸手饭来张口
'yi'lai'tu 依赖图
'yi'lai'xue'xi 依赖学习
'yi'lai'yi'wang 一来一往
'yi'lan'bao'shou 一揽包收
'yi'lan'cheng'song 一览成诵
'yi'lan'er'jin 一览而尽
'yi'lan'liao'ran 一览了然
'yi'lan'ni'ku'si 伊兰尼库斯
'yi'lan'ni'ku'si'zhi'jiao 伊兰尼库斯之角
'yi'lan'ni'ku'si'zhi'ya 伊兰尼库斯之牙
'yi'lan'qing'shu 意懒情疏
'yi'lan'quan'shou 一览全收
'yi'lan'wu'yi 一览无遗
'yi'lan'wu'yu 一览无余
'yi'lan'xin'hui 意懒心灰
'yi'lan'xin'yong 意懒心慵
'yi'lao'gu'chen 遗老孤臣
'yi'lao'jiu'yi 一劳久逸
'yi'lao'ji'yi 以劳击逸
'yi'lao'mai'lao 倚老卖老
'yi'lao'mai'lao 以老卖老
'yi'lao'tao'you 以乐慆忧
'yi'lao'yi'shao 遗老遗少
'yi'lao'yi'shi 一老一实
'yi'lao'yong'ding 一牢永定
'yi'lao'yong'yi 一劳永逸
'yi'la'yi'chang 一拉一唱
'yi'lei'chao'qun 轶类超群
'yi'lei'er'shan 一雷二闪
'yi'lei'xiang'cong 以类相从
'yi'lei'xi'mian 以泪洗面
'yi'le'qian'ming 一了千明
'yi'li 义理
'yi'li 毅力
'yi'lian 一连
'yi'lian'ru'shui 一廉如水
'yi'liao'bai'dang 一了百当
'yi'liao'bai'liao 一了百了
'yi'liao'bu'dao 意料不到
'yi'liao'fen'chen'bao 医疗粉尘包
'yi'liao'zhi'wai 意料之外
'yi'li'bu'dong 屹立不动
'yi'li'bu'jue 迤俪不绝
'yi'li'ce'hai 以蠡测海
'yi'li'cheng'dan 一力承担
'yi'li'cheng'dang 一力承当
'yi'li'chui'xu 一力吹嘘
'yi'li'cuan'duo 一力撺掇
'yi'li'da'lei 伊利达雷
'yi'li'da'lei'de'fu'chou 伊利达雷的复仇
'yi'li'da'lei'gang'shao 伊利达雷岗哨
'yi'li'da'lei'xun'lian'chang 伊利达雷训练场
'yi'li'da'lei'zhan'chu'mo'ren 伊利达雷斩除魔刃
'yi'li'dan 伊利丹
'yi'li'dan'dang 一力担当
'yi'li'dan'de'pu'cong 伊利丹的仆从
'yi'li'dang'xian 一力当先
'yi'li'dan'nu'feng 伊利丹怒风
'yi'li'er'shu 以貍饵鼠
'yi'li'er'shu 以狸饵鼠
'yi'li'fa'er 伊利法尔
'yi'li'fu'ren 以力服人
'yi'li'fu'ren 以理服人
'yi'li'gua'la 吚哩呱喇
'yi'li'guan'zhi 一理贯之
'yi'li'gu'lao 遗黎故老
'yi'li'hui'huo 以礼悔祸
'yi'li'jiang'shi'hui 一力降十会
'yi'li'ju'shou 一力拒守
'yi'li'lei'xing 以利累形
'yi'li'liang'ba 一犂两坝
'yi'li'mi'shi 亦里迷失
'yi'lin'an'ni 伊林安尼
'yi'li'nao'chui 一里挠椎
'yi'lin'ban'gua 一鳞半瓜
'yi'lin'ban'jia 一鳞半甲
'yi'lin'ban'zhao 一鳞半爪
'yi'lin'dao'fu 疑邻盗斧
'yi'lin'er'hu 一林二虎
'yi'ling'shen'hui 意领神会
'yi'ling'zhen'xing 一灵真性
'yi'lin'na 伊琳娜
'yi'lin'ni'ya 伊琳尼雅
'yi'lin'pian'jia 一鳞片甲
'yi'lin'pian'zhao 一鳞片爪
'yi'lin'wei'he 以邻为壑
'yi'lin'xi'ya 伊林希亚
'yi'lin'yi'zhao 一鳞一爪
'yi'lin'zhi'zhao 一鳞只爪
'yi'li'qu'guan 以理去官
'yi'li'sha 伊莉莎
'yi'liu 依刘
'yi'liu'bian'guang 一溜鞭光
'yi'liu'feng 一溜风
'yi'liu'ping'jin 依流平进
'yi'liu'wai'xie 一溜歪斜
'yi'liu'wu'la 一六兀剌
'yi'liu'wu'lu 壹留兀渌
'yi'liu'yan 一溜烟
'yi'li'wa'la 咿哩哇啦
'yi'li'wu'la 咿呖呜剌
'yi'li'wu'lu 伊哩乌卢
'yi'li'xiang'dai 以礼相待
'yi'li'xiang'qing 以利相倾
'yi'li'ya'na 伊莉亚娜
'yi'li'yi'hai 以蠡挹海
'yi'li'yi'hao 一厘一毫
'yi'li'yu 一犁雨
'yi'li'zhi'shu 以貍至鼠
'yi'li'zhi'shu 以狸致鼠
'yi'li'zhi'shu 以狸至鼠
'yi'li'zhi'shu'yi'bing'zhi'sheng 以狸致鼠以冰致绳
'yi'long 翼龙
'yi'long 逸龙
'yi'long'bian'sheng 以聋辨声
'yi'long'ding'ci 翼龙钉刺
'yi'long'jiu'zhong 一龙九种
'yi'long'wang 艺龙网
'yi'long'yi'she 一龙一蛇
'yi'long'yi'zhu 一龙一猪
'yi'lu 倚闾
'yi'lu 夷路
'yi'lu 瘗鹿
'yi'lu 忆鲈
'yi'luan'di'dan 以卵敌石
'yi'luan'ji'shi 以卵击石
'yi'luan'jiu'dan 以卵就石
'yi'luan'ru'ma 意乱如麻
'yi'luan'tou'shi 以卵投石
'yi'luan'tu'di 一乱涂地
'yi'luan'wei'zhi 以乱为治
'yi'luan'xin'huang 意乱心慌
'yi'luan'xin'mang 意乱心忙
'yi'luan'yi'bao 以乱易暴
'yi'lu'er'wang 倚闾而望
'yi'lue'zong'heng 意略纵横
'yi'lu'feng'chen 一路风尘
'yi'lu'feng'qing 一路风清
'yi'lu'fu'xing 一路福星
'yi'lu'gong'ming 异路功名
'yi'lu'huo'se 一路货色
'yi'lu'ke'si 伊鲁克斯
'yi'lu'ku 一路哭
