'a'gong'yan 阿公岩
'tian'wen'tai'dao 天文台道
'tian'xin 田心
'tian'xin'cun 田心村
'tian'xin'cun'cun'gong'suo 田心村村公所
'tian'xin'jie 田心街
'tian'xin'lu 田心路
'tian'xing'ma'tou 天星码头
'tian'xiu'zhan 天秀站
'tian'yao'cun 天耀邨
'tian'yao'cun'yao'feng'lou 天耀邨耀丰楼
'tian'yao'cun'yao'min'lou 天耀邨耀民楼
'tian'yao'cun'yao'sheng'lou 天耀邨耀盛楼
'tian'yao'lou 天瑶楼
'tian'yao'zhan 天耀站
'tian'yao'zong'zhan 天耀总站
'tian'yi'cun 天逸邨
'tian'yi'cun'yi'tan'lou 天逸邨逸潭楼
'tian'yi'cun'yi'yang'lou 天逸邨逸洋楼
'tian'yi'zhan 天逸站
'tian'you'yuan 天祐苑
'tian'yuan'ge 田园阁
'tian'yue'cun 天悦邨
'tian'yue'guang'chang 天悦广场
'tian'yue'zhan 天悦站
'tian'yun'lou 天韵楼
'tian'ze'cun 天泽邨
'tian'ze'hua'yuan 天泽花园
'tian'zhu'jiao'fen'chang 天主教坟场
'tian'zhu'jiao'hai'xing'tang 天主教海星堂
'tian'zhu'jiao'tang 天主教堂
'tian'zhu'jiao'wu'hua'zhong'xue 天主教伍华中学
'tian'zhu'jiao'xiao'xue 天主教小学
'tiao'jing'ling 调景岭
'tiao'jing'ling'di'tie'zhan'gong'gong'jiao'tong'jiao'hui'chu 调景岭地铁站公共交通交汇处
'tiao'jing'ling'zhan 调景岭站
'tie'lu'da'sha 铁路大厦
'ting'che'chang 停车场
'ting'jiao 汀角
'ting'jiu 汀九
'ting'jiu'ba'shi'zhan 汀九巴士站
'ting'jiu'cun 汀九村
'ting'jiu'di'jing'jiu'dian 汀九帝景酒店
'ting'jiu'wan 汀九湾
'ting'lan'ju 汀兰居
'ting'tao'xiao'zhu 听涛小筑
'ting'tao'ya'yuan 听涛雅苑
'tong'cai'jie 通菜街
'tong'cai'jie'wang'jiao'jing'shu 通菜街旺角警署
'tong'le'jie 同乐街
'tong'li'qin'hang 通利琴行
'tong'luo'wan 铜锣湾
'tong'luo'wan'bi'feng'tang 铜锣湾避风塘
'tong'luo'wan'cun 铜锣湾村
'tong'luo'wan'guang'chang 铜锣湾广场
'tong'luo'wan'shan 铜锣湾山
'tong'luo'wan'shi'dai'guang'chang'jia'lan'zhong'xin 铜锣湾时代广场嘉兰中心
'tong'luo'wan'tian'hou'zong'zhan 铜锣湾天后总站
'tong'luo'wan'xin'hui'dao 铜锣湾新会道
'tong'luo'wan'zhan 铜锣湾站
'tong'luo'wan'zong'zhan 铜锣湾总站
'tong'yi'jie'shi 同益街市
'tong'yi'zhong'xin 统一中心
'tong'zhen 同珍
'tong'zhen'gong'si 同珍公司
'tong'zhou'jie 通州街
'tong'zhou'jie'gong'yuan 通州街公园
'tong'zhou'xi'jie 通州西街
'tu'ban'yin'shua 凸版印刷
'tu'ban'zi'xun'ka 凸版资讯卡
'tu'di'shen'cai'chu 土地审裁处
'tu'di'wan 土地湾
'tu'gua'ping 土瓜坪
'tu'gua'wan 土瓜湾
'tu'gua'wan'dao 土瓜湾道
'tu'gua'wan'gao'shan'ju'chang 土瓜湾高山剧场
'tu'gua'wan'jie'shi 土瓜湾街市
'tu'gua'wan'luo'shan'dao 土瓜湾落山道
'tu'gua'wan'shang'xiang'dao 土瓜湾上乡道
'tu'gua'wan'tian'guang'dao 土瓜湾天光道
'tu'gua'wan'zhe'jiang'jie 土瓜湾浙江街
'tu'lu'gang 吐露港
'tu'shu'guan 图书馆
'tun'men 屯门
'tun'men'da'hui'tang 屯门大会堂
'tun'men'di'tie'zhan 屯门地铁站
'tun'men'dian'hua'ji'lou 屯门电话机楼
'tun'men'du'lun'ma'tou 屯门渡轮码头
'tun'men'gong'lu 屯门公路
'tun'men'gong'yuan 屯门公园
'tun'men'gong'zhong'qi'shu'xue'xiao 屯门公衆骑术学校
'tun'men'guan'li'zhong'xue 屯门官立中学
'tun'men'guang'chang 屯门广场
'tun'men'jing'shu 屯门警署
'tun'men'long'zhou'jiu'dian 屯门龙舟酒店
'tun'men'ma'tou 屯门码头
'tun'men'ma'tou'zong'zhan 屯门码头总站
'tun'men'shi'guang'chang 屯门市广场
'tun'men'shi'zhong'xin 屯门市中心
'tun'men'shi'zhong'xin'ba'shi'zong'zhan 屯门市中心巴士总站
'tun'men'shi'zhong'xin'zong'zhan 屯门市中心总站
'tun'men'tie'lu'zhan 屯门铁路站
'tun'men'tie'lu'zhan'zong'zhan 屯门铁路站总站
'tun'men'tun'ren'jie 屯门屯仁街
'tun'men'xiang'shi'hui'lu 屯门乡事会路
'tun'men'xiao'fang'ju 屯门消防局
'tun'men'yi'yuan 屯门医院
'tun'men'yong'chi 屯门泳池
'tun'men'zhong'yang'guang'chang 屯门中央广场
'tun'men'zong'zhan 屯门总站
'wa'yao'tou 瓦窑头
'wa'yao'tou 瓦窰头
'wai'jiao'bu'zhu'gang'te'pai'yuan'gong'shu 外交部驻港特派员公署
'wan'de'ge 万德阁
'wan'fo'si 万佛寺
'wan'guo'bin'yi'guan 万国殡仪馆
'wan'hao'bin'guan 万豪宾馆
'wan'ji'da'sha 万基大厦
'wan'jiao 万角
'wan'jing'feng 万景峰
'wan'jing'hua'yuan 湾景花园
'wan'jing'hua'yuan'zong'zhan 湾景花园总站
'wan'jing'tai 万景台
'wan'jing'yuan 湾景园
'wan'jing'zhong'xin'da'sha 湾景中心大厦
'wan'li'guang'chang 万利广场
'wan'li'hai'jing'jiu'dian 万丽海景酒店
'wan'nian'qing 万年青
'wan'ning 万宁
'wan'shi'da'guang'chang 万事达广场
'wan'wu'bian 万屋边
'wan'yi'da'sha 万宜大厦
'wan'yi'shui'ku 万宜水库
'wan'zai 湾仔
'wan'zai'dian'nao'cheng 湾仔电脑城
'wan'zai'hui'zhan'ba'shi'zong'zhan 湾仔会展巴士总站
'wan'zai'jie'shi 湾仔街市
'wan'zai'jing'shu 湾仔警署
'wan'zai'ma'tou 湾仔码头
'wan'zai'ma'tou'zong'zhan 湾仔码头总站
'wan'zai'xia'dao 湾仔峡道
'wan'zai'xiao'fang'ju 湾仔消防局
'wan'zai'xun'lian'chi 湾仔训练池
'wan'zai'zhan 湾仔站
'wang'chao'hui 王朝会
'wang'hou'shi 望后石
'wang'jiao 旺角
'wang'jiao'bi'jie 旺角弼街
'wang'jiao'chang'sha'jie 旺角长沙街
'wang'jiao'che'zhan 旺角车站
'wang'jiao'cheng'shi 旺角城市
'wang'jiao'chi'you'jie 旺角豉油街
'wang'jiao'da'qiu'chang 旺角大球场
'wang'jiao'dao 旺角道
'wang'jiao'deng'da'shi'jie 旺角登打士街
'wang'jiao'dian'nao 旺角电脑
'wang'jiao'dong 旺角东
'wang'jiao'dong'tie'lu'zhan 旺角东铁路站
'wang'jiao'dong'zhan 旺角东站
'wang'jiao'dong'zhan'zong'zhan 旺角东站总站
'wang'jiao'gang'tie'dong'zhan'zong'zhan 旺角港铁东站总站
'wang'jiao'jie'shi 旺角街市
'wang'jiao'jing'shu 旺角警署
'wang'jiao'kuai'fu'jie 旺角快富街
'wang'jiao'nai'lu'chen'jie 旺角奶路臣街
'wang'jiao'shan'dong'jie 旺角山东街
'wang'jiao'shui'qu'dao 旺角水渠道
'wang'jiao'tang'wei'dao 旺角塘尾道
'wang'jiao'tie'lu'zhan 旺角铁路站
'wang'jiao'wei'jing'jiu'dian 旺角维景酒店
'wang'jiao'ya'lan'jie 旺角鸦兰街
'wang'jiao'zhan 旺角站
'wang'jiao'zhan 望角站
'wang'jiao'zhong'xin 旺角中心
'wang'jing'wei 辋井围
'wang'long'jie 望隆街
'wang'zhao'zhi'zhong'xue 王肇枝中学
'wang'zhong'ming'zhong'xue 王仲铭中学
'wei'an'zhong'xin 卫安中心
'wei'bang 威帮
'wei'cheng'dao 卫城道
'wei'de'guang'chang 维德广场
'wei'dou'ge 威都阁
'wei'duo'li'ya 维多利亚
'wei'duo'li'ya'da'jiu'dian 维多利亚大酒店
'wei'duo'li'ya'gang 维多利亚港
'wei'duo'li'ya'gong'yuan 维多利亚公园
'wei'duo'li'ya'hai'wan 维多利亚海湾
'wei'duo'li'ya'zhong'xin 维多利亚中心
'wei'er'si'qin'wang'yi'yuan 威尔斯亲王医院
'wei'er'si'yi'yuan 威尔斯医院
'wei'fei'lu'dao 威非路道
'wei'feng'yuan 蔚峰园
'wei'gang'wan 维港湾
'wei'gang'wan'ba'shi'zong'zhan 维港湾巴士总站
'wei'gang'wan'zong'zhan 维港湾总站
'wei'hao'ge 威豪阁
'wei'heng'chang'xin'cun 伟恒昌新邨
'wei'jing 维景
'wei'jing'hua'yuan 伟景花园
'wei'jing'hua'yuan 蔚景花园
'wei'jing'jie'zong'zhan 伟景街总站
'wei'jing'jiu'dian 维景酒店
'wei'jing'tai 威景台
'wei'jing'tai 维景台
'wei'jing'wan'pan 维景湾畔
'wei'lan'xuan 卫兰轩
'wei'le'jie 伟乐街
'wei'li 卫理
'wei'li'dao 卫理道
'wei'li'gong'ye'da'sha 伟力工业大厦
'wei'li'ma'jie 威利麻街
'wei'ling'dun'jie 威灵顿街
'wei'luan'ge 蔚峦阁
'wei'lun'jie 伟伦街
'wei'min'lou 卫民楼
'wei'nang'jie 围乪街
'wei'qing 伟晴
'wei'shan'ge 蔚山阁
'wei'shan'yuan 玮珊园
'wei'tou'ba'shi'zhan 围头巴士站
'wei'tou'cun 围头村
'wei'tou'cun'ba'shi'zhan 围头村巴士站
'wei'xing'hua'yuan 卫星花园
'wei'ye'jie 伟业街
'wei'yi'xin'jing 卫奕信径
'wei'yuan 维园
'wei'yuan'dao 维园道
'wei'yuan'zheng'men 维园正门
'wei'zai'cun 围仔村
'wei'zhi'jie 伟智街
'wei'zhi'jie'kou 伟智街口
'wen'fu'dao 文福道
'wen'hua'bo'wu'guan 文化博物馆
'wen'hua'hui'guan 文化会馆
'wen'hua'li 文华里
'wen'hui'dao 文辉道
'wen'jin'du'guan'qia 文锦渡关卡
'wen'jin'du'zong'zhan 文锦渡总站
'wen'ming'li 文明里
'wen'sha'jiu'dian 温莎酒店
'wen'wu'guan 文物馆
'wen'wu'miao 文武庙
'wen'ying'lou 文英楼
'wen'yun'dao 文运道
'wo'da'lao'dao 窝打老道
'wo'da'lao'dao'shan 窝打老道山
'wo'mei 窝美
'wo'zai'jie 窝仔街
'wu'di'chen'jie 勿地臣街
'wu'fang'jie 五芳街
'wu'fu'da'sha 五福大厦
'wu'hu'jie 芜湖街
'wu'hua'jie 物华街
'wu'hua'shu'yuan 伍华书院
'wu'jia'cun 吴家村
'wu'jiao'teng 乌蛟腾
'wu'kuai'tian 五块田
'wu'liu'lu 五柳路
'wu'pao 午炮
'wu'ruo'yu'jian'kang'yuan 伍若瑜健康院
'wu'shui'chu'li'chang 污水处理厂
'wu'song'jie 吴松街
'wu'tong'zhai 梧桐寨
'wu'tong'zhai'cun 梧桐寨村
'wu'tou 屋头
'wu'wu'cun 吴屋村
'wu'xi'sha 乌溪沙
'wu'xi'sha'ma'tie'zhan 乌溪沙马铁站
'wu'xi'sha'tie'lu'zhan 乌溪沙铁路站
'wu'xi'sha'zhan 乌溪沙站
'wu'xun'jie'sheng'jie'hui'yong'guang'shu'yuan 五旬节圣洁会永光书院
'wu'yi'si'tu'hao'zhong'xue 五邑司徒浩中学
'wu'yu'zhong'xue 五育中学
'xi'an'jie 西安街
'xi'ao 西澳
'xi'bao'cheng 西宝城
'xi'bian'jie 西边街
'xi'cao'wan 西草湾
'xi'cun'lu 西邨路
'xi'dao'zhong'xue 西岛中学
'xi'er'dun'da'sha 希尔顿大厦
'xi'er'dun'zhong'xin 希尔顿中心
'xi'fang'si 西方寺
'xi'fu'dao 禧福道
'xi'gang'cheng 西港城
'xi'gang'dao'zhong'xue 西港岛中学
'xi'gang'zhong'xin 矽港中心
'xi'gong 西贡
'xi'gong'ba'shi'zong'zhan 西贡巴士总站
'xi'gong'bei'ba'shi'zong'zhan 西贡北巴士总站
'xi'gong'da'hui'tang 西贡大会堂
'xi'gong'gong'lu 西贡公路
'xi'gong'hu'wai'xun'lian'ying 西贡户外训练营
'xi'gong'jie 西贡街
'xi'gong'jing'shu 西贡警署
'xi'gong'ma'tou 西贡码头
'xi'gong'shi'zhong'xin 西贡市中心
'xi'gong'shi'zhong'xin'ba'shi'zong'zhan 西贡市中心巴士总站
'xi'gong'zong'zhan 西贡总站
'xi'he'wan 西河湾
'xi'hua'lu 西华路
'xi'huan 西环
'xi'huan'cun 西环邨
'xi'huan'da'lou 西环大楼
'xi'jiang'wei 锡降围
'xi'jing 西径
'xi'jiu'long'zhong'xin 西九龙中心
'xi'lai'deng'jiu'dian 喜来登酒店
'xi'li'jia'da'sha 喜利佳大厦
'xi'li'jie 禧利街
'xi'ling'zhou 喜灵洲
'xi'long'shan'zhuang 曦龙山庄
'xi'lou'jiao'lu 西楼角路
'xi'mo'dao 西摩道
'xi'ning'ge 西宁阁
'xi'ning'jie 西宁街
'xi'qu'gong'yuan 西区公园
'xi'qu'hai'di'sui'dao 西区海底隧道
'xi'qu'hai'di'sui'dao'shou'fei'guang'chang 西区海底隧道收费广场
'xi'qu'jing'shu 西区警署
'xi'qu'shang'ye 西区商业
'xi'que'lou 喜鹊楼
'xi'shen'dao 希慎道
'xi'shen'guang'chang 希慎广场
'xi'shi'jie 西市街
'xi'tie'ke'shi'dian 西铁柯士甸
'xi'tie'nan'chang'zhan 西铁南昌站
'xi'tou'wei 西头围
'xi'wan 西湾
'xi'wan'da'sha 西湾大厦
'xi'wan'guo'shang'ji'nian'fen'chang 西湾国殇纪念坟场
'xi'wan'he 西湾河
'xi'wan'he'jie'shi 西湾河街市
'xi'wan'he'ma'tou 西湾河码头
'xi'wan'he'tai'an'lou 西湾河太安楼
'xi'wan'he'wen'yu'zhong'xin 西湾河文娱中心
'xi'wan'he'zhan 西湾河站
'xi'wan'lv'shui'chang 西湾滤水厂
'xi'wan'nian 喜万年
'xi'xiang'jie 西祥街
'xi'xiao'fang'jie 西消防街
'xi'xin 熙信
'xi'xin'da'sha 熙信大厦
'xi'xin'ge 曦欣阁
'xi'yang'cai'jie 西洋菜街
'xi'yang'cai'jie'nan 西洋菜街南
'xi'yang'cai'li 西洋菜里
'xi'yi 西翼
'xi'yi'jie 洗衣街
'xi'yi'jie'shui'wu'shu 洗衣街水务署
'xi'ying'pan 西营盘
'xi'ying'pan'di'er'jie 西营盘第二街
'xi'ying'pan'di'san'jie 西营盘第三街
'xi'ying'pan'you'zheng'ju 西营盘邮政局
'xi'yuan 西园
'xia'bai'ni 下白泥
'xia'bi'yao'wan 下碧瑶湾
'xia'bi'yao'wan'tong'dao 下碧瑶湾通道
'xia'gao'pu'cun 下高埔村
'xia'he'keng 下禾坑
'xia'hua'shan'cun 下花山村
'xia'jing'kou'cun 下径口村
'xia'keng 下坑
'xia'kui'lou 夏葵楼
'xia'kui'yong'fen'ke'zhen'suo 下葵涌分科诊所
'xia'kui'yong'zhen'suo 下葵涌诊所
'xia'men'jie 厦门街
'xia'que'dao 夏悫道
'xia'she 下輋
'xia'su'wu'cun 下苏屋邨
'xia'wan'cun 下湾村
'xia'wan'yu'min'xin'cun 下湾渔民新村
'xia'ya'li'bi'dao 下亚厘毕道
'xia'yang 下洋
'xia'yang'xin'cun 下洋新村
'xian'da 先达
'xian'jing'ba'shi'zong'zhan 显径巴士总站
'xian'jing'cun 显径邨
'xian'jing'cun'zong'zhan 显径邨总站
'xian'jing'jie 显径街
'xian'jing'shang'chang 显径商场
'xian'pei'lou 显沛楼
'xian'qing'lou 显庆楼
'xian'shi 先施
'xian'tian 咸田
'xian'tian'cun 显田村
'xian'tian'jie 咸田街
'xian'tian'jie 显田街
'xian'tian'you'le'chang 显田游乐场
'xian'wai'ji'qi'chang 舷外机器厂
'xian'yao'cun 显耀邨
'xiang'che'jie 香车街
'xiang'cun'ju'le'bu 乡村俱乐部
'xiang'da'zhong'xin 祥达中心
'xiang'dao'dao 香岛道
'xiang'dao'xiao'zhu 香岛小筑
'xiang'dao'zhong'xue 香岛中学
'xiang'gang 香港
'xiang'gang'bao'hu'er'tong'hui 香港保护儿童会
'xiang'gang'chao'shang'xue'xiao 香港潮商学校
'xiang'gang'cheng'shi'da'xue 香港城市大学
'xiang'gang'chuang'yi'shu'yuan 香港创意书院
'xiang'gang'da'qiu'chang 香港大球场
'xiang'gang'da'xue 香港大学
'xiang'gang'da'xue'dong'zha 香港大学东闸
'xiang'gang'da'xue'li'jia'cheng'yi'xue'yuan 香港大学李嘉诚医学院
'xiang'gang'da'xue'xi'zha 香港大学西闸
'xiang'gang'di'shi'ni'le'yuan 香港迪士尼乐园
'xiang'gang'dian'shi'tai 香港电视台
'xiang'gang'dian'tai 香港电台
'xiang'gang'dian'tai'dian'shi'da'sha 香港电台电视大厦
'xiang'gang'dian'tai'jiao'yu'dian'shi 香港电台教育电视
'xiang'gang'dian'ying'zi'liao'guan 香港电影资料馆
'xiang'gang'dian'zi 香港电子
'xiang'gang'dong'zhi'wu'gong'yuan 香港动植物公园
'xiang'gang'fo'jiao'yi'yuan 香港佛教医院
'xiang'gang'fu'jing'zong'bu 香港辅警总部
'xiang'gang'fu'zhu'jing'cha'zong'bu 香港辅助警察总部
'xiang'gang'gang'an'yi'yuan 香港港安医院
'xiang'gang'gong'kai'da'xue 香港公开大学
'xiang'gang'gong'ye'zhong'xin 香港工业中心
'xiang'gang'gong'yuan 香港公园
'xiang'gang'guo'ji'ji'chang 香港国际机场
'xiang'gang'hang'hai'xue'xiao 香港航海学校
'xiang'gang'hang'hai'xue'yuan 香港航海学院
'xiang'gang'hua'ren'ji'du'jiao'lian'hui'bo'fu'lin'dao'fen'chang 香港华人基督教联会薄扶林道坟场
'xiang'gang'hua'ren'shu'yuan 香港华仁书院
'xiang'gang'hua'yuan 香港花园
'xiang'gang'huang'jin'hai'an 香港黄金海岸
'xiang'gang'hui'gui'zu'guo'ji'nian'bei 香港回归祖国纪念碑
'xiang'gang'hui'yi'zhan'lan'zhong'xin 香港会议展览中心
'xiang'gang'jia'shi'xue'yuan 香港驾驶学院
'xiang'gang'jia'ting'ji'hua'zhi'dao'hui 香港家庭计划指导会
'xiang'gang'jiao'yu'xue'yuan 香港教育学院
'xiang'gang'jin'hui'da'xue 香港浸会大学
'xiang'gang'jin'hui'yuan 香港浸会园
'xiang'gang'ke'ji'da'xue 香港科技大学
'xiang'gang'ke'ji'da'xue'hui'xuan'chu 香港科技大学回旋处
'xiang'gang'ke'ji'xue'yuan 香港科技学院
'xiang'gang'ke'xue'guan 香港科学馆
'xiang'gang'ke'xue'yuan 香港科学园
'xiang'gang'ke'xue'yuan 香港科学院
'xiang'gang'li'bin'fu 香港礼宾府
'xiang'gang'li'gong'da'xue 香港理工大学
'xiang'gang'li'shi'bo'wu'guan 香港历史博物馆
'xiang'gang'lian'he'chuan'wu'ji'tuan 香港联合船坞集团
'xiang'gang'mang'ren'fu'dao'hui 香港盲人辅导会
'xiang'gang'mao'yi'fa'zhan'ju 香港贸易发展局
'xiang'gang'mian'fen'chang 香港面粉厂
'xiang'gang'qing'nian'xie'hui'li'zhao'ji'shu'yuan 香港青年协会李兆基书院
'xiang'gang'sai'ma'bo'wu'guan 香港赛马博物馆
'xiang'gang'san'yu'shu'yuan 香港三育书院
'xiang'gang'sha'chang 香港纱厂
'xiang'gang'shang'ye'zhong'xin 香港商业中心
'xiang'gang'sheng'chan'li'cu'jin'ju 香港生产力促进局
'xiang'gang'sheng'shi'ti'fan'shu'yuan'fu'shu'xiao'xue 香港圣士提反书院附属小学
'xiang'gang'sheng'wu'ke'ji'yan'jiu'yuan 香港生物科技研究院
'xiang'gang'shi'di'gong'yuan 香港湿地公园
'xiang'gang'te'bie'xing'zheng'qu 香港特别行政区
'xiang'gang'ti'yu'guan 香港体育馆
'xiang'gang'ti'yu'xue'yuan 香港体育学院
'xiang'gang'tie'lu'zhan 香港铁路站
'xiang'gang'wang'qiu'zhong'xin 香港网球中心
'xiang'gang'wen'hua'bo'wu'guan 香港文化博物馆
'xiang'gang'wen'hua'zhong'xin 香港文化中心
'xiang'gang'yan'ke'yi'yuan 香港眼科医院
'xiang'gang'yan'yi'xue'yuan 香港演艺学院
'xiang'gang'yang'qi 香港氧气
'xiang'gang'yang'qi'gong'si 香港氧气公司
'xiang'gang'yi'shu'guan 香港艺术馆
'xiang'gang'yi'shu'zhong'xin 香港艺术中心
'xiang'gang'you'ting'hui 香港游艇会
'xiang'gang'zai 香港仔
'xiang'gang'zai'ba'shi'zong'zhan 香港仔巴士总站
'xiang'gang'zai'da'dao 香港仔大道
'xiang'gang'zai'gong'ye'xue'xiao 香港仔工业学校
'xiang'gang'zai'hai'bang'dao 香港仔海傍道
'xiang'gang'zai'hai'bin'gong'yuan 香港仔海滨公园
'xiang'gang'zai'ma'tou 香港仔码头
'xiang'gang'zai'shi'zheng'da'sha 香港仔市政大厦
'xiang'gang'zai'sui'dao 香港仔隧道
'xiang'gang'zai'sui'dao'shou'fei'guang'chang 香港仔隧道收费广场
'xiang'gang'zai'xiao'fang'ju 香港仔消防局
'xiang'gang'zai'yu'lei'pi'fa'shi'chang 香港仔鱼类批发市场
'xiang'gang'zai'yun'dong'chang 香港仔运动场
'xiang'gang'zai'zhong'xin 香港仔中心
'xiang'gang'zhan 香港站
'xiang'gang'zhen'guang'shu'yuan 香港真光书院
'xiang'gang'zhen'guang'zhong'xue 香港真光中学
'xiang'gang'zhong'wen'da'xue 香港中文大学
'xiang'gang'zhong'xue 香港中学
'xiang'gang'zhong'yang'tu'shu'guan 香港中央图书馆
'xiang'gang'zhuan'ye'jiao'yu'xue'yuan 香港专业教育学院
'xiang'he'yuan 祥和苑
'xiang'hua'cun 祥华邨
'xiang'hua'cun'xiang'song'lou 祥华邨祥颂楼
'xiang'hua'zong'zhan 祥华总站
'xiang'li'jie 祥利街
'xiang'long'wan 翔龙湾
'xiang'man'lou 香满楼
'xiang'min'dao 祥民道
'xiang'shan'cun 象山邨
'xiang'shan'cun'xiu'shan'lou 象山邨秀山楼
'xiang'shi'hui'jie 乡事会街
'xiang'shi'wei'yuan'hui 乡事委员会
'xiang'si'wan 相思湾
'xiang'yun'ge 祥云阁
'xiang'zhong'cun 响钟村
'xiao'cui'jie 晓翠街
'xiao'cui'yuan 晓翠苑
'xiao'fang'ju 消防局
'xiao'fang'xue'xiao 消防学校
'xiao'fei'zhe'zhong'xin 消费者中心
'xiao'feng'yuan 晓峰园
'xiao'feng'yuan'ba'shi'zhan 晓峰园巴士站
'xiao'guang'jie 晓光街
'xiao'guang'jie'gong'yuan 晓光街公园
'xiao'guang'jie'shi'nei'yun'dong'chang 晓光街室内运动场
'xiao'guang'jie'ti'yu'yuan 晓光街体育院
'xiao'guang'jie'you'le'chang 晓光街游乐场
'xiao'guang'shang'ye'zhong'xin 晓光商业中心
'xiao'hao'wan'che'liang'kou'liu'zhong'xin 小蚝湾车辆扣留中心
'xiao'hao'wan'lv'shui'chang 小蚝湾虑水厂
'xiao'hao'wan'zheng'fu'wei'xiu'chang 小蚝湾政府维修厂
'xiao'hui'hua'yuan 晓晖花园
'xiao'kan'cun 小磡村
'xiao'keng'cun 小坑村
'xiao'lan 小榄
'xiao'lan'cun 小榄村
'xiao'lan'jing'shen'bing'zhi'liao'zhong'xin 小榄精神病治疗中心
'xiao'lan'xin'cun 小榄新村
'xiao'li'ge 晓丽阁
'xiao'li'yuan 小沥源
'xiao'li'yuan 晓丽苑
'xiao'li'yuan'bao'an'zhong'xin 小沥源报案中心
'xiao'li'yuan'cao'di'gun'qiu'chang 小沥源草地滚球场
'xiao'li'yuan'lu'cao'di'gun'qiu'chang 小沥源路草地滚球场
'xiao'li'yuan'lu'you'le'chang 小沥源路游乐场
'xiao'li'yuan'xiao'fang'ju 小沥源消防局
'xiao'lu 晓庐
'xiao'min'jie 孝民街
'xiao'qing'ge 晓晴阁
'xiao'shun'ge 晓顺阁
'xiao'tao'yuan'cun 小桃源村
'xiao'xi'wan 小西湾
'xiao'xi'wan'cun 小西湾邨
'xiao'xi'wan'dao 小西湾道
'xiao'xi'wan'dao'fu'yi'dao 小西湾道富怡道
'xiao'xi'wan'yun'dong'chang 小西湾运动场
'xiao'xiu'cun 小秀村
'xiao'xiu'shang'cun 小秀上村
'xiao'xue 小学
'xie'en'zhong'xue 协恩中学
'xie'fei'dao 谢斐道
'xie'he'jie 协和街
'xie'he'jie'gong'yuan 协和街公园
'xie'he'jie'hui'feng'li'cai'zhong'xin 协和街汇丰理财中心
'xie'he'xiao'xue 协和小学
'xie'he'you'er'yuan 协和幼儿园
'xie'he'zhong'xue 协和中学
'xie'lan'jie 泄兰街
'xie'pao'ding 斜炮顶
'xie'tong'zhong'xue 协同中学
'xie'wei'yuan 协威园
'xie'wu'cun 谢屋村
'xin'an'cun 欣安邨
'xin'ao 欣澳
'xin'ao'zhan 欣澳站
'xin'bao'cheng 新宝城
'xin'cheng'da'sha 新成大厦
'xin'cheng'jie 新成街
'xin'cheng'shi'guang'chang 新城市广场
'xin'cheng'zhong'xue 心诚中学
'xin'cui'ba'shi'zong'zhan 新翠巴士总站
'xin'cui'cun 新翠邨
'xin'cui'cun'xin'ming'lou 新翠邨新明楼
'xin'cui'hua'yuan 欣翠花园
'xin'cun 新村
'xin'da'guang'chang 新达广场
'xin'de'zhong'xin 信德中心
'xin'di'cun 新地村
'xin'du'cheng 新都城
'xin'du'cheng'da'sha 新都城大厦
'xin'du'cheng'er'qi 新都城二期
'xin'du'cheng'zhong'xin 新都城中心
'xin'du'cheng'zhong'xin'yi'qi'shang'chang 新都城中心一期商场
'xin'du'hui'guang'chang 新都会广场
'xin'du'hui'guang'chang'ba'shi'zhan 新都会广场巴士站
'xin'fa'shu'yuan 新法书院
'xin'fa'zhong'xue 新法中学
'xin'feng'cun 新凤村
'xin'feng'hua'yuan 新峰花园
'xin'fu'ge 欣富阁
'xin'gang 新港
'xin'gang'cheng 新港城
'xin'gang'jiu'dian 新港酒店
'xin'gang'zhong'xin 新港中心
'xin'gao'ya 新高雅
'xin'guang 新光
'xin'guang'jiu'dian 新光酒店
'xin'guang'xi'yuan 新光戏院
'xin'guang'xue'xiao 心光学校
'xin'guang'ying'ju'yuan 新光影剧院
'xin'hao'yuan 信豪苑
'xin'he'guang'chang 信和广场
'xin'he'zhong'xin 信和中心
'xin'hua'she'xiang'gang'fen'she 新华社香港分社
'xin'huang 新煌
'xin'hui'ge 欣晖阁
'xin'ji'yuan'guang'chang 新纪元广场
'xin'jia'po'guo'ji'xue'xiao 新加坡国际学校
'xin'jie'shi 新街市
'xin'jing'jiu'lou 新景酒楼
'xin'jing'lou 新景楼
'xin'jing'lu 欣景路
'xin'jiu'long'guang'chang 新九龙广场
'xin'kai'tian'cun 新开田村
'xin'kui'xing'hua'yuan 新葵兴花园
'xin'li'hua'yuan 新丽花园
'xin'li'hua'zhong'xin 新利华中心
'xin'li'wu'cun 新李屋村
'xin'liu'jie 新柳街
'xin'ma'tou'jie 新码头街
'xin'mao'zhong'xin 新贸中心
'xin'min'lou 新民楼
'xin'ming'yuan 欣明苑
'xin'niang'tan'zong'zhan 新娘潭总站
'xin'pu'gang 新蒲岗
'xin'pu'gang'cai'pan'fa'yuan 新蒲岗裁判法院
'xin'pu'gang'cai'pan'shu 新蒲岗裁判署
'xin'pu'gang'gong'chang'qu 新蒲岗工厂区
'xin'pu'gang'gong'ye'da'sha 新蒲岗工业大厦
'xin'pu'gang'guang'chang 新蒲岗广场
'xin'pu'gang'ning'yuan'jie 新蒲岗宁远街
'xin'pu'gang'si'mei'jie 新蒲岗四美街
'xin'pu'gang'yan'qing'jie 新蒲岗衍庆街
