'ai'er'bu'lang'ji 埃尔布朗基
'you'xiang'fei'xun'huan'tu 有向非循环图
'you'xiang'hu 有向弧
'you'xiang'tu 有向图
'you'xian'ji 优先级
'you'xian'ji'biao 优先级表
'you'xian'ji'diao'du 优先级调度
'you'xian'ji'kong'zhi 优先级控制
'you'xian'ji'tiao'zheng 优先级调整
'you'xian'ji'xuan'ze 优先级选择
'you'xian'ji'zhong'duan 优先级中断
'you'xian'ji'zuo'ye 优先级作业
'you'xian'kong'zhi'qi 有限控制器
'you'xian'lun'zhuan'fa'diao'du 有限轮转法调度
'you'xian'mu'biao 有限目标
'you'xian'quan 优先权
'you'xian'shu 优先数
'you'xian'wang 有限网
'you'xian'xing'wen'fa 右线性文法
'you'xian'yuan'fa 有限元法
'you'xian'yuan'fen'xi 有限元分析
'you'xian'yue'shu 优先约束
'you'xian'zhuang'tai 有限状态
'you'xian'zhuang'tai'ji 有限状态机
'you'xian'zhuang'tai'yu'fa 有限状态语法
'you'xian'zhuang'tai'yu'yan 有限状态语言
'you'xian'zi'dong'ji 有限自动机
'you'xiao 有效
'you'xiao'guo'cheng 有效过程
'you'xiao'jie'dian 有效节点
'you'xiao'qing'qiu 有效请求
'you'xiao'shi'jian 有效时间
'you'xiao'shu'ru 有效输入
'you'xiao'shu'zi 有效数字
'you'xiao'wei 有效位
'you'xiao'xiang 有效项
'you'xiao'xing 有效性
'you'xiao'xing'jian'cha 有效性检查
'you'xiao'xin'yuan 有效信元
'you'xiao'zhuang'tai 有效状态
'you'xiao'zi 有效字
'you'xiao'zi'fu 有效字符
'you'xiao'zi'shu 有效字数
'you'xu'sou'suo 有序搜索
'you'yi 右移
'you'yuan 友元
'you'yuan'di'ban 有源底板
'you'zheng'ju'zhang 邮政局长
'you'zhong'cai'de'xin'wen'zu 有仲裁的新闻组
'yuan'bian'yi'cheng'xu 元编译程序
'yuan'cheng'ban'gong 远程办公
'yuan'cheng'cha'xun 远程查询
'yuan'cheng'deng'lu 远程登录
'yuan'cheng'deng'lu 远程登陆
'yuan'cheng'deng'lu'xie'yi 远程登录协议
'yuan'cheng'fang'fa'diao'yong 远程方法调用
'yuan'cheng'fang'wen 远程访问
'yuan'cheng'fang'wen'fu'wu 远程访问服务
'yuan'cheng'fang'wen'fu'wu'qi 远程访问服务器
'yuan'cheng'fu'wu 远程服务
'yuan'cheng'gong'xiang 远程共享
'yuan'cheng'gou'wu 远程购物
'yuan'cheng'guo'cheng'diao'yong 远程过程调用
'yuan'cheng'he'zuo 远程合作
'yuan'cheng'hui'yi 远程会议
'yuan'cheng'jia'dian 远程加电
'yuan'cheng'jiao'shi 远程教室
'yuan'cheng'jiao'xue 远程教学
'yuan'cheng'jiao'yu 远程教育
'yuan'cheng'jin'cheng'diao'yong 远程进程调用
'yuan'cheng'kong'zhi 远程控制
'yuan'cheng'kong'zhi'ruan'jian 远程控制软件
'yuan'cheng'shu'ju'ku'fang'wen 远程数据库访问
'yuan'cheng'tong'xin 远程通信
'yuan'cheng'xin'xi'chu'li'xin'xi 远程信息处理信息
'yuan'cheng'xu 源程序
'yuan'cheng'xu'an'quan 源程序安全
'yuan'cheng'yin'dao 远程引导
'yuan'cheng'zhen'duan 远程诊断
'yuan'cheng'zhi'chi'she'shi 远程支持设施
'yuan'cheng'zhong'duan 远程终端
'yuan'cheng'zi'xun 远程咨询
'yuan'cheng'zuo'ye 远程作业
'yuan'cheng'zuo'ye'chu'li'cheng'xu 远程作业处理程序
'yuan'cheng'zuo'ye'shu'chu 远程作业输出
'yuan'cheng'zuo'ye'shu'ru 远程作业输入
'yuan'dai'ma 源代码
'yuan'dao'yuan'zhuan'huan 源到源转换
'yuan'di 原地
'yuan'di'zhi 源地址
'yuan'di'zhi'xuan'ze'tou'ming'qiao 源地址选择透明桥
'yuan'di'zhi'xuan'ze'tou'ming'wang'qiao 源地址选择透明网桥
'yuan'duan'kou 源端口
'yuan'duan'ou'he'zao'sheng 远端耦合噪声
'yuan'duan'que'xian'zhi'shi 远端缺陷指示
'yuan'fan'li'ku 源范例库
'yuan'fu'wu'qi 源服务器
'yuan'gui'hua 元规划
'yuan'gui'ze 元规则
'yuan'hu'cha'bu 圆弧插补
'yuan'jian'shu'xiao'shi 元件数小时
'yuan'jiao 圆角
'yuan'jiao'chuang'kou'ju'bing 圆角窗口句柄
'yuan'ke'man'zu'xing 元可满足性
'yuan'kong'wang 远控王
'yuan'li'tu 原理图
'yuan'lu'you'qiao'jie 源路由桥接
'yuan'lu'you'suan'fa 源路由算法
'yuan'lu'you'wang'qiao 源路由网桥
'yuan'ma 原码
'yuan'ma'xing'bing'du 源码型病毒
'yuan'mo'xing 元模型
'yuan'pian'gui'mo'ji'cheng 圆片规模集成
'yuan'qu'wang 园区网
'yuan'sao'miao 圆扫描
'yuan'se 原色
'yuan'sheng'si'he 原生四核
'yuan'shi'di'gui'han'shu 原始递归函数
'yuan'shi'shu'ju 原始数据
'yuan'shi'shu'ru 原始输入
'yuan'shu'ju 元数据
'yuan'shu'ju'jian'bie 源数据鉴别
'yuan'shu'ju'ku 元数据库
'yuan'su 元素
'yuan'tui'li 元推理
'yuan'wen'jian 元文件
'yuan'xing 原型
'yuan'xing'jie'gou 原型结构
'yuan'xing'su'cheng 原型速成
'yuan'xing'zhi'zuo 原型制作
'yuan'xin'ling 元信令
'yuan'yu 原语
'yuan'yu'fa 元语法
'yuan'yu'yan 元语言
'yuan'yu'yan 源语言
'yuan'yu'yan'ci'dian 源语言词典
'yuan'yu'yan'fen'xi 源语言分析
'yuan'zheng'liu'lan'qi 远征浏览器
'yuan'zhi'shi 元知识
'yuan'zi'cao'zuo 原子操作
'yuan'zi'gong'shi 原子公式
'yuan'zi'guang'bo 原子广播
'yuan'zi'xing 原子性
'yuan'zong'he 元综合
'yuan'zu 元组
'yuan'zu'guan'xi'yan'suan 元组关系演算
'yuan'zu'kang 源阻抗
'yuan'zu'shu'ji 元组数基
'yu'bian'ma 预编码
'yu'bian'yi'cheng'xu 预编译程序
'yu'ce'bian'ma 预测编码
'yu'ce'kong'zhi 预测控制
'yu'ce'mo'xing 预测模型
'yu'chong'dian 预充电
'yu'chu'li'cheng'xu 预处理程序
'yu'diao'dan'wei 语调单位
'yu'diao'du'suan'fa 预调度算法
'yu'ding'gu'zhang'jian'ce 预定故障检测
'yu'ding'wei'xiu 预定维修
'yu'ding'wei'xiu'shi'jian 预订维修时间
'yue'ding 约定
'yue'du'qi'she'zhi 阅读器设置
'yue'du'shi'yan'shi 阅读实验室
'yue'han'feng'nuo'yi'man 约翰冯诺依曼
'yue'hui'yong'yu 约会用语
'yue'jie 越界
'yue'jie'ji'lu 越界记录
'yue'qi'shu'zi'jie'kou 乐器数字接口
'yue'se'fu'xiao'ying 约瑟夫效应
'yue'shu 约束
'yue'shu'chuan'bo 约束传播
'yue'shu'fang'cheng 约束方程
'yue'shu'gui'ze 约束规则
'yue'shu'han'shu 约束函数
'yue'shu'ju'zhen 约束矩阵
'yue'shu'man'zu 约束满足
'yue'shu'tiao'jian 约束条件
'yue'shu'tui'li 约束推理
'yue'shu'zhi'shi 约束知识
'yu'fa 语法
'yu'fa'ci'zhui 语法词缀
'yu'fa'fan'chou 语法范畴
'yu'fa'fen'xi 语法分析
'yu'fa'fen'xi'cheng'xu 语法分析程序
'yu'fa'guan'xi 语法关系
'yu'fa'guan'xi'shu'ku 语法关系树库
'yu'fa'miao'shu'yu'yan 语法描述语言
'yu'fang'xing'wei'hu 预防性维护
'yu'fa'shu'xing 语法属性
'yu'fa'tian'sheng'jia'shuo 语法天生假说
'yu'fei'men 与非门
'yu'fen'jie 域分解
'yu'fen'pei 预分配
'yu'gou 语构
'yu'jian 预减
'yu'ji'ce'lue'lu'you'xuan'ze 域际策略路由选择
'yu'jing 语境
'yu'jing'fen'xi 语境分析
'yu'jing'ji'zhi 语境机制
'yu'jing'zhao'ying 语境照应
'yu'ju 语句
'yu'ju'ding'yi'fu 语句定义符
'yu'ju'ping'jun'chang'du 语句平均长度
'yu'lan'bing'da'yin 预览并打印
'yu'liao'ku 语料库
'yu'liao'ku'yu'yan'xue 语料库语言学
'yu'lin'mu'feng 雨林木风
'yu'lin'mu'feng'cao'zuo'xi'tong 雨林木风操作系统
'yu'men 与门
'yu'ming 域名
'yu'ming'fu'wu 域名服务
'yu'ming'fu'wu'qi 域名服务器
'yu'ming'fu'wu'qi'dian'zi'qi'pian 域名服务器电子欺骗
'yu'ming'jie'chi 域名劫持
'yu'ming'jie'xi 域名解析
'yu'ming'kong'zhi'qi 域名控制器
'yu'ming'xi'tong 域名系统
'yu'ming'xi'tong'bu'du 域名系统布毒
'yu'ming'zuo'jie'xi 域名做解析
'yu'mi'yue 域密钥
'yu'mo'shi 域模式
'yun'an'quan 云安全
'yun'cun'chu 云存储
'yun'dong 运动
'yun'dong'bu'chang 运动补偿
'yun'dong'chong'jian 运动重建
'yun'dong'fen'xi 运动分析
'yun'dong'gu'ji 运动估计
'yun'dong'jian'ce 运动检测
'yun'dong'kong'zhi 运动控制
'yun'dong'tu'xiang 运动图像
'yun'dong'tu'xiang'ya'suo 运动图像压缩
'yun'dong'xiang'liang 运动向量
'yun'dong'yu'ce 运动预测
'yun'han'wei'ci 蕴含谓词
'yun'ji'suan 云计算
'yun'ji'suan'ji'shu 云计算技术
'yun'mu 韵母
'yu'nong'bing'du 愚弄病毒
'yun'shu 运输
'yun'shu'ceng 运输层
'yun'suan 运算
'yun'suan'ji'cun'qi 运算寄存器
'yun'suan'kong'zhi'qi 运算控制器
'yun'suan'liu'shui'xian 运算流水线
'yun'suan'qi 运算器
'yun'suan'su'du 运算速度
'yun'suan'su'du'ping'jia 运算速度评价
'yun'suan'zi 运算子
'yun'wang'shu'zi 云网数字
'yun'xing 运行
'yun'xing'ce'shi 运行测试
'yun'xing'duo'tai 运行多态
'yun'xing'fang'shi 运行方式
'yun'xing'he'wei'hu 运行和维护
'yun'xing'he'wei'hu'jie'duan 运行和维护阶段
'yun'xing'ke'kao'xing 运行可靠性
'yun'xing'ke'xing'xing 运行可行性
'yun'xing'pou'mian 运行剖面
'yun'xing'ri'zhi 运行日志
'yun'xing'shi 运行时
'yun'xing'shi'cuo'wu 运行时错误
'yun'xing'shi'jian 运行时间
'yun'xing'shi'zhen'duan 运行时诊断
'yun'xing'xi'tong 运行系统
'yun'xu'chong'hua 允许重画
'yun'xu'jiao 允许角
'yun'xu'xin'yuan'su'lv 允许信元速率
'yun'xu'zhong'duan 允许中断
'yun'zuo'zhu'guan 运作主管
'yu'pen'qu'xian 浴盆曲线
'yu'qu 预取
'yu'qu'ji'shu 预取技术
'yu'she'guan'li'qi 预设管理器
'yu'she'jie'shou'chuang'kou 预设接收窗口
'yu'sheng'cheng'cao'zuo'xi'tong 预生成操作系统
'yu'she'zhi'mo'ren 预设值默认
'yu'shi 谕示
'yu'shi'ji 谕示机
'yu'su'fen'jie 语素分解
'yu'su'qie'fen 语素切分
'yu'su'sheng'cheng 语素生成
'yu'su'yin'wei'xue 语素音位学
'yu'wai'lun'yuan 域外论元
'yu'wen'za'bao 娱闻杂报
'yu'xian 逾限
'yu'xian'ji'hua'fen'pei 预先计划分配
'yu'xian'kong'zhi 逾限控制
'yu'xia'xin'dao 阈下信道
'yu'yan 语言
'yu'yan'biao'zhun 语言标准
'yu'yan'cheng'yuan'zheng'ming'xi'tong 语言成员证明系统
'yu'yan'chuan'li'lun 语言串理论
'yu'yan'chu'li'cheng'xu 语言处理程序
'yu'yan'huo'qu 语言获取
'yu'yan'ke'ji 语言科技
'yu'yan'miao'shu'yu'yan 语言描述语言
'yu'yan'mo'xing 语言模型
'yu'yan'sheng'cheng 语言生成
'yu'yan'shi'bie 语言识别
'yu'yan'xi'de'zhuang'zhi 语言习得装置
'yu'yan'xin'xi 语言信息
'yu'yan'xue'li'lun 语言学理论
'yu'yan'xue'mo'xing 语言学模型
'yu'yan'zhi'neng 语言知能
'yu'yan'zhi'shi'ku 语言知识库
'yu'yi 语义
'yu'yi'biao'zheng'yu'yan 语意表征语言
'yu'yi'chang 语义场
'yu'yi'chang 语意场
'yu'yi'ci'dian 语义词典
'yu'yi'fen'xi 语义分析
'yu'yi'he'yi 语义合一
'yu'yi'jia'gou 语意架构
'yu'yi'jian'cha 语义检查
'yu'yi'jie'gou 语意结构
'yu'yi'ji'yi 语义记忆
'yu'yi'ju'li 语义距离
'yu'yi'li'lun 语义理论
'yu'yin 语音
'yu'yin'bian'shi 语音辨识
'yu'yin'chu'li 语音处理
'yu'yin'fan'yi'xi'tong 语音翻译系统
'yu'yin'he'cheng 语音合成
'yu'yin'jian'suo 语音检索
'yu'yin'la'ji'you'jian 语音垃圾邮件
'yu'yin'shi'bie 语音识别
'yu'yin'shu'ru'fa 语音输入法
'yu'yin'yi'wei 语音易位
'yu'yin'zhuan'huan 语音转换
'yu'yi'shu 语义树
'yu'yi'shu'ju'mo'xing 语义数据模型
'yu'yi'shu'xing 语义属性
'yu'yi'wang'lu 语意网路
'yu'yi'wang'luo 语义网络
'yu'yi'xiang'guan'xing 语义相关性
'yu'yi'xian'zhi 语意限制
'yu'yi'xin'xi 语义信息
'yu'yi'xue 语义学
'yu'yi'xue 语意学
'yu'yong 语用
'yu'yong'fen'xi 语用分析
'yu'yong'xue 语用学
'yu'yue'biao 预约表
'yu'zhi 阈值
'yu'zhi'guan'li'qi 预置管理器
'yu'zhi'luo'ji 阈值逻辑
'yu'zhi'sou'suo 阈值搜索
'za'cou'han'shi 杂凑函式
'zai'bo'jian'ting'duo'lu'fang'wen 载波监听多路访问
'zai'bo'zhen'ting 载波侦听
'zai'bo'zhen'ting'duo'zhi'fang'wen 载波侦听多址访问
'zai'gong'cheng 再工程
'zai'hua'ma 在画吗
'zai'jian'ri'yu 再见日语
'zai'ju'he 再聚合
'zai'mei'ti'shang'xian'shi 在媒体上显示
'zai'nan'hou'hui'fu 灾难后恢复
'zai'nan'hui'fu 灾难恢复
'zai'nan'hui'fu'ji'hua 灾难恢复计划
'zai'qi'dong 再启动
'zai'ru'cai'zhi 载入材质
'zai'ru'qi'shi'ye 载入起始页
'zai'ru'tu'pian 载入图片
'zai'sheng 再生
'zai'sheng'duan 再生段
'zai'tu'xiang'shang'xian'shi 在图像上显示
'zai'xian 在线
'zai'xian'bang'zhu 在线帮助
'zai'xian'geng'xin 在线更新
'zai'xian'sha'du 在线杀毒
'zai'xian'shou'cang 在线收藏
'zai'xian'shou'cang'fu'wu 在线收藏服务
'zai'xian'zheng'shu'zhuang'tai'xie'yi 在线证书状态协议
'zai'ya'suo 再压缩
'za'jiao 杂交
'zan'cun'qi 暂存器
'zang'du 脏读
'zan'shi'gu'zhang 暂时故障
'zan'ting 暂停
'zan'ting'zhuang'tai 暂停状态
'zan'zhu'ao'you 赞助傲游
'zan'zhu'ming'ling 暂驻命令
'zao'qi'shi'xiao 早期失效
'zao'sheng 噪声
'zao'sheng'kang'rao'du 噪声抗扰度
'zao'sheng'qing'chu 噪声清除
'zao'sheng'rong'xian 噪声容限
'zao'sheng'xiao'chu'qi 噪声消除器
'zao'sheng'yi'zhi 噪声抑制
'zao'sheng'zhong'lei 噪声种类
'zao'xing 造形
'zao'xing'bian'huan 造型变换
'zeng'jia'tiao'zheng'ceng 增加调整层
'zeng'jia'za'dian 增加杂点
'zeng'liang 增量
'zeng'liang'bei'fen 增量备份
'zeng'liang'bian'yi 增量编译
'zeng'liang'jing'hua 增量精化
'zeng'liang'xue'xi 增量学习
'zeng'liang'zhuan'chu 增量转储
'zeng'qiang 增强
'zeng'qiang'cha'zhao 增强查找
'zeng'qiang'de 增强的
'zeng'qiang'xian'shi 增强现实
'zeng'qiang'xing'xiao'she'bei'jie'kou 增强型小设备接口
'zeng'qiang'you'jian'cai'dan 增强右键菜单
'zeng'song'chan'quan 赠送产权
'zeng'zhi'wang 增值网
'zeng'zhi'zhuan'chu 增殖转储
'ze'ren'fen'li 责任分离
'ze'ren'xing 责任性
'zhai'yao'suan'fa 摘要算法
'zhan'biao'ji 栈标记
'zhan'dan'yuan 栈单元
'zhan'di 栈底
'zhan'dian 站点
'zhan'dian'bao'hu 站点保护
'zhan'dian'dao'hang 站点导航
'zhan'dian'ming 站点名
'zhan'di'zhi 栈地址
'zhan'fa 栈法
'zhang'ce'tong'bu 障栅同步
'zhang'hao 帐号
'zhang'hao'feng'suo 帐号封锁
'zhang'hu 帐户
'zhang'hu'shou'ji 帐户收集
'zhang'li'ji 张力计
'zhang'shang'dian'nao 掌上电脑
'zhang'shang'ji'suan'ji 掌上计算机
'zhan'ji'zhi 栈机制
'zhan'kong'jian 栈空间
'zhan'kong'zhi 栈控制
'zhan'lue'gui'hua 战略规划
'zhan'lue'qing'bao 战略情报
'zhan'lue'shu'ju'gui'hua 战略数据规划
'zhan'mu'si'gao'si'lin 詹姆斯高斯林
'zhan'nei'rong 栈内容
'zhan'qu 栈区
'zhan'rong'liang 栈容量
'zhan'shang'tuo 栈上托
'zhan'she'shi 栈设施
'zhan'shu'qing'bao 战术情报
'zhan'suan'fa 栈算法
'zhan'tie'dao'guang'biao'chu 粘贴到光标处
'zhan'tie'ru 粘贴入
'zhan'tong'shi'suan'fa 栈桶式算法
'zhan'xiang'liang 栈向量
'zhan'xia'tui 栈下推
'zhan'xun'zhi 栈寻址
'zhan'yi'chu 栈溢出
'zhan'yi'chu'zhong'duan 栈溢出中断
'zhan'yong'kong'jian 占用空间
'zhan'yuan'su 栈元素
'zhan'zhang'xian'feng 站长先锋
'zhan'zhang'zhu'shou 站长助手
'zhan'zheng'bo'hao'qi 战争拨号器
'zhan'zhi'zhen 栈指针
'zhan'zi'dong'ji 栈自动机
'zhan'zi'mu'biao 栈字母表
'zhan'zu'he 栈组合
'zhan'zuo'ye'chu'li 栈作业处理
'zhao'biao 招标
'zhao'ji'ren 召集人
'zhao'pian 照片
'zhao'pian'pian'zi'ru'chong 照片骗子蠕虫
'zhe'dang 遮挡
'zhe'die 折叠
'zhe'die'shi'zhu'gan'wang 折叠式主干网
'zhen'dang'zhou'qi 振荡周期
'zhen'dian'bo'dian'shi 真点播电视
'zhen'ding'wei 帧定位
'zhen'duan 诊断
'zhen'duan'ce'shi 诊断测试
'zhen'duan'cheng'xu 诊断程序
'zhen'duan'cuo'wu'chu'li 诊断错误处理
'zhen'duan'fen'bian'lv 诊断分辨率
'zhen'duan'jian'yan 诊断检验
'zhen'duan'ji'lu 诊断记录
'zhen'duan'mo'xing 诊断模型
'zhen'duan'ping'mu 诊断屏幕
'zhen'duan'ruan'pan 诊断软盘
'zhen'duan'xi'tong 诊断系统
'zhen'feng'zhuang 帧封装
'zhen'fu 振幅
'zhen'fu'bian'hua 振幅变化
'zheng'ban'yan'zheng 正版验证
'zheng'bi'bao 正闭包
'zheng'chang'xiang'ying 正常响应
'zheng'chang'yun'xing 正常运行
'zheng'dian'ya'she'ji'ou'he'luo'ji 正电压射极耦合逻辑
'zheng'duo 争夺
'zheng'er'ce'tou'ying 正二测投影
'zhen'ge'shi 帧格式
'zheng'fa'leng'que 蒸发冷却
'zheng'fan'wen'ju 正反问句
'zheng'fu'ji'shu'zhi'chi'zhong'xin 政府技术支持中心
'zheng'fu'kai'fang'xi'tong'hu'lian'kuang'jia 政府开放系统互连框架
'zheng'gui'wen'fa 正规文法
'zheng'jiao'bian'huan 正交变换
'zheng'jiao'shu 正交树
'zheng'jiao'xiao'bo'bian'huan 正交小波变换
'zheng'ju 证据
'zheng'ju'li'lun 证据理论
'zheng'ju'tui'li 证据推理
'zheng'li 正例
'zheng'liu'qi 整流器
'zheng'luo'ji'zhuan'huan 正逻辑转换
'zheng'mian'de'hei'ke 正面的黑客
'zheng'mian'de'hei'ke'xing'dong 正面的黑客形动
'zheng'mian'ru'chong 正面蠕虫
'zheng'ming 证明
'zheng'ming'ce'lue 证明策略
'zheng'ming'shu 证明树
'zheng'ming'zhe 证明者
'zheng'pian'die'jia 正片叠加
'zheng'pi'jia'mi'mi'yue 整批加密密钥
'zheng'quan'da'dao'mu'ma 证券大盗木马
'zheng'que'xing 正确性
'zheng'que'xing'zheng'ju 正确性证据
'zheng'que'xing'zheng'ming 正确性证明
'zheng'shang'yun'dian'zi'shu'ju'jiao'huan 政商运电子数据交换
'zheng'shang'yun'dian'zi'shu'ju'jiao'huan'biao'zhun 政商运电子数据交换标准
'zheng'shi 证实
'zheng'shi'ce'shi 正式测试
'zheng'shi'jing'jian'ban 正式精简版
'zheng'shi'wan'zheng'ban 正式完整版
'zheng'shu 证书
'zheng'shu'ban'bu'cao'zuo'gui'ding 证书颁布操作规定
'zheng'shu'ceng'ci'jie'gou 证书层次结构
'zheng'shu'fei'chu 证书废除
'zheng'shu'fen'jie'nan'ti 整数分解难题
'zheng'shu'guan'li 证书管理
'zheng'shu'guan'li'ji'gou 证书管理机构
'zheng'shu'jian'bie 证书鉴别
'zheng'shu'jian'yan'bao'wen 证书检验报文
'zheng'shu'lian 证书链
'zheng'shu'xian'xing'gui'hua 整数线性规划
'zheng'shu'zhuang'tai 证书状态
'zheng'shu'zhuang'tai'ji'gou 证书状态机构
'zheng'shu'zuo'fei'biao 证书作废表
'zheng'tao'cheng'bao'xi'tong 整套承包系统
'zheng'ti 正体
'zheng'ti'ci'tou 整体磁头
'zheng'ti'guang'zhao'mo'xing 整体光照模型
'zheng'ti'shi'xiao 整体失效
'zheng'tou'ying 正投影
'zheng'tu'mu'ma 征途木马
'zheng'wei 证伪
'zheng'wen 正文
'zheng'wen'bian'ji 正文编辑
'zheng'wen'bian'ji'qi 正文编辑器
'zheng'wen'ge'shi'yu'yan 正文格式语言
'zheng'wen'jian'suo 正文检索
'zheng'wen'ku 正文库
'zheng'wen'shu'ju'ku 正文数据库
'zheng'xiang'an'quan 正向安全
'zheng'xiang'hui'fu 正向恢复
'zheng'xiang'ju'yu'wang'xin'dao 正向局域网信道
'zheng'xiang'tui'li 正向推理
'zheng'xiang'xin'dao 正向信道
'zheng'xing'bian'liang 整型变量
'zheng'xing'chang'liang 整型常量
'zheng'xun 征询
'zheng'xun'wo'shou'ren'zheng'xie'yi 征询握手认证协议
'zheng'yan 正沿
'zheng'yong 争用
'zheng'yong'shi'jian'jian'ge 争用时间间隔
'zheng'yong'tiao'jian 争用条件
'zheng'yue'bian 正跃变
'zheng'ze'biao'da'shi 正则表达式
'zheng'ze'hua 正则化
'zheng'ze'ji 正则集
'zheng'ze'xing'shi 正则形式
'zheng'ze'xu 正则序
'zheng'ze'yu'yan 正则语言
'zheng'zhao 症兆
'zheng'zhao'ce'shi 征兆测试
'zheng'zhi'qi 整直器
'zheng'zi'fen'jie 整字分解
'zhen'huan'cun'qi 帧缓存器
'zhen'jian'bian'ma 帧间编码
'zhen'jian'shi'jian'tian'chong 帧间时间填充
'zhen'jian'yan'xu'lie 帧检验序列
'zhen'jian'ya'suo 帧间压缩
'zhen'kong'zhi'zi'duan 帧控制字段
'zhen'lie 阵列
'zhen'lie'chu'li 阵列处理
'zhen'lie'ji'suan'ji 阵列计算机
'zhen'lie'kong'zhi'bu'jian 阵列控制部件
'zhen'lie'liu'shui'xian 阵列流水线
'zhen'ling 振铃
'zhen'lv 帧率
'zhen'mian'wen'ti 帧面问题
'zhen'nei'bian'ma 帧内编码
'zhen'nei'ya'suo 帧内压缩
'zhen'pin 帧频
'zhen'shi'da'yin'ji 针式打印机
'zhen'shi'gan'tu'xing 真实感图形
'zhen'shi'gan'xian'shi 真实感显示
'zhen'shi'shi'jie 真实世界
'zhen'shi'shu'zhi 针式输纸
'zhen'shi'xing 真实性
'zhen'shou'ding'jie'fu 帧首定界符
'zhen'su'lv 帧速率
'zhen'wei'ding'jie'fu 帧尾定界符
'zhen'yi'lai 真依赖
'zhen'zhi'biao 真值表
'zhen'zhi'biao'gui'yue 真值表归约
'zhen'zhi'biao'ke'gui'yue'xing 真值表可归约性
'zhen'zhi'wei'hu'xi'tong 真值维护系统
'zhen'zhong'ji 帧中继
'zhen'zhong'ji'wang 帧中继网
'zhe'xian 折线
'zhi'bei'jing'se 置背景色
'zhi'bian'ju 置边距
'zhi'biao'tou'hang'shu 置表头行数
'zhi'biao'tou'lie'shu 置表头列数
'zhi'biao'yu'yan 置标语言
'zhi'can 值参
'zhi'cheng'yu'yi 指称语义
'zhi'chi 支持
'zhi'chi'cheng'xu 支持程序
'zhi'chi'guo'cheng 支持过程
'zhi'chi'ji 支持集
'zhi'chi'ruan'jian 支持软件
'zhi'chi'xi'tong 支持系统
'zhi'chuan 值传
'zhi'chuan 址传
'zhi'chu'shi'shu'xing 置初始属性
'zhi'ci'pan'juan'biao 置磁盘卷标
'zhi'dai'chuan'kong 纸带穿孔
'zhi'dai'du'ru'ji 纸带读入机
'zhi'dang'qian'ku 置当前库
'zhi'dang'qian'suo'yin 置当前索引
'zhi'dao'xi'tong 制导系统
'zhi'da'yin'she'zhi 置打印设置
'zhi'deng'dai'shu'biao 置等待鼠标
'zhi'de'yi'lai'de'ji'suan'ping'tai'lian'meng 值得依赖的计算平台联盟
'zhi'diao'yong 值调用
'zhi'di'fu'gai 质地覆盖
'zhi'ding 指定
'zhi'di'xuan'ze 质地选择
'zhi'du 只读
'zhi'du'cun'chu'qi 只读存储器
'zhi'du'die 只读碟
'zhi'dui'qi'fang'shi 置对齐方式
'zhi'du'shu'xing 只读属性
'zhi'du'xing'guang'pan 只读型光盘
'zhi'fa'fang'wen'qu 执法访问区
'zhi'fang'tu 直方图
'zhi'fang'tu'xiu'zheng 直方图修正
'zhi'fu'chuang'kou 置父窗口
'zhi'guang'biao 置光标
'zhi'hang'gao 置行高
'zhi'hou 滞后
'zhi'huan 置换
'zhi'huan'mi'ma 置换密码
'zhi'jian'ji'ban'wen'ben 置剪辑板文本
'zhi'jiao'dian'xiang'mu 置焦点项目
'zhi'jiao'ping'mian'xian'xiang'guan 直角平面显像管
'zhi'jiao'zuo'biao'xing'ji'qi'ren 直角坐标型机器人
'zhi'jie'cha'ru 直接插入
'zhi'jie'cheng'fen'yu'fa 直接成分语法
'zhi'jie'cun'chu'qi'cun'qu 直接存储器存取
'zhi'jie'cun'qu 直接存取
'zhi'jie'hu'jiao'she'shi 直接呼叫设施
'zhi'jie'ou'he'jing'ti'guan'luo'ji 直接耦合晶体管逻辑
'zhi'jie'shu'zi'kong'zhi 直接数字控制
'zhi'jie'sui'ji'cun'qu 直接随机存取
'zhi'jie'xiang'lian'gao'su'huan'cun 直接相联高速缓存
'zhi'jie'xun'zhi 直接寻址
'zhi'jie'ye'leng 直接液冷
'zhi'jie'ying'she 直接映射
'zhi'jie'zu'zhi 直接组织
'zhi'jue'tui'li'fa 直觉推理法
'zhi'jue'zhu'yi'luo'ji 直觉主义逻辑
'zhi'kong'zhi'dian'hua'xi'tong'de'guo'cheng 指控制电话系统的过程
'zhi'lei'xing 置类型
'zhi'liang'bao'zheng 质量保证
'zhi'liang'bao'zheng'ce'shi 质量保证测试
'zhi'liang'du 纸亮度
'zhi'liang'du'liang'xue 质量度量学
'zhi'liang'gong'cheng 质量工程
'zhi'liang'he'xing'neng'ce'shi 质量和性能测试
'zhi'li'chu'li 智力处理
'zhi'lie'kuan 置列宽
'zhi'li'fan'zui 智力犯罪
'zhi'ling 指令
'zhi'ling'bu'jin 指令步进
'zhi'ling'chong'shi 指令重试
'zhi'ling'chu'li 指令处理
'zhi'ling'chu'li'bu'jian 指令处理部件
'zhi'ling'diao'du 指令调度
'zhi'ling'diao'du'cheng'xu 指令调度程序
'zhi'ling'di'zhi 指令地址
'zhi'ling'di'zhi'ji'cun'qi 指令地址寄存器
'zhi'ling'di'zhi'ji'shu'qi 指令地址计数器
'zhi'ling'dui'lie 指令队列
'zhi'ling'gao'su'huan'cun 指令高速缓存
