'a'da'zhong'lang'xi'you'yu 阿大中郎喜有馀
'si'dai'hao 四代好
'si'dang'chang'xiang'si 死当长相思
'si'dang'jie'cao 死当结草
'si'dao'bian 死道边
'si'dei'min'yi 斯得民矣
'si'de'tian'xia'yi 斯得天下矣
'si'die'yang'guan 四叠阳关
'si'die'yang'guan'ren'lei'wen 四叠阳关忍泪闻
'si'di'xiang 思帝乡
'si'duo'duan'xi'shui'neng'li 思多端兮谁能理
'si'er'bu'huo 死而不祸
'si'er'bu'jian 思而不见
'si'er'bu'neng'qu'ye 思而不能去也
'si'er'bu'wang'zhe'shou 死而不亡者寿
'si'er'wu'hui'zhe 死而无悔者
'si'fang'chu'ge'sheng 四方楚歌声
'si'fang'huan'zhen'song'dang'zhong 四方环镇嵩当中
'si'fang'shi'wei 四方是维
'si'fang'zhi'nei 四方之内
'si'fang'zhi'zheng'hang'yan 四方之政行焉
'si'fan'ling 四犯令
'si'gan 斯干
'si'geng'shan'tu'yue 四更山吐月
'si'guan'chu'diao 丝管初调
'si'gu'dan'hu'hong 四顾但湖泓
'si'gu'he'mang'mang 四顾何茫茫
'si'gui'duo'ku'yan 思归多苦颜
'si'gui'he'bi'shen 思归何必深
'si'gui'le 思归乐
'si'gu'nian'tian'wu'bi 四顾粘天无壁
'si'guo'hua'qiao'dong'pan'lu 嘶过画桥东畔路
'si'guo'ru'gu 四国如故
'si'guo'zhi'an'zhe 思国之安者
'si'gu'shan'guang'jie'shui'guang 四顾山光接水光
'si'gu'zhi'you'qing 思古之幽情
'si'hai'fan'teng'yun'shui'nu 四海翻腾云水怒
'si'hai'gu'li'lv 思还故里闾
'si'hai'kun'qiong 四海困穷
'si'hai'san'jiang'ba'diao'lun 四海三江罢钓纶
'si'hai'sui'wei'jia 四海遂为家
'si'hai'tong'han'shi 四海同寒食
'si'hai'wei'jia'ci'lu'qiong 四海为家此路穷
'si'hai'wei'sang'ma 四海未桑麻
'si'hai'wu'ren'jiao'liang'xiong 四海无人角两雄
'si'hai'ye'yi 斯害也已
'si'hai'zhi'nei 四海之内
'si'hai'zi'xiang'qiang 嗣还自相戕
'si'hao 四豪
'si'hao'chen'shi'bu'xiang'guan 丝毫尘事不相关
'si'he'chun 四和春
'si'he'xiang 四和香
'si'he'zhi'qing'wei'you'ji 俟河之清未有期
'si'hou'zhi'wo'shei 死后知我谁
'si'hua'hai'si'fei'hua 似花还似非花
'si'huai'shei'ke'cong 私怀谁克从
'si'huan'bu'dei'lai 思欢不得来
'si'huang'ji'sheng'deng'kui'gao 嗣皇继圣登夔皋
'si'huan'tou 四换头
'si'hu'chong'man'le'he'sheng 似乎充满了和声
'si'hui'chui'bu'qi 死灰吹不起
'si'jia'ke 思佳客
'si'jian'zhang'liang 私见张良
'si'jiao'ai'bai'ri 四角碍白日
'si'jiao'long'zi'fan 四角龙子幡
'si'jiao'qiu'ye'jing'mi'mi 四郊秋叶惊摵摵
'si'jiao'wei'ning'jing 四郊未宁静
'si'jie'cong'lai'kai'gu'xun 死节从来岂顾勋
'si'ji'hua 四季花
'si'jing'zhi'nei'bu'zhi 四境之内不治
'si'jin'xin'yi 斯近信矣
'si'jun'ci'he'ji 思君此何极
'si'jun'jun'bu'lai 思君君不来
'si'jun'jun'bu'zhi 思君君不知
'si'jun'ling'ren'lao 思君令人老
'si'jun'ru'bai'cao 思君如百草
'si'jun'ru'man'yue 思君如满月
'si'jun'ru'ming'zhu 思君如明烛
'si'jun'ruo'wen'shui 思君若汶水
'si'jun'ru'ye'zhu 思君如夜烛
'si'ke'men'qing'han 似可扪青汉
'si'kong'shu 司空曙
'si'kong'tu 司空图
'si'kuai'yu 四块玉
'si'liang'bian'he'shuang'fei'qu 思量便合双飞去
'si'liang'qian'li'xiang'guan'dao 思量千里乡关道
'si'liang'que'shi 思量却是
'si'liang'que'ye'you'bei'shi 思量却也有悲时
'si'liang'ye'sheng 思量也胜
'si'liang'yi'xi'cheng'qiao'cui 思量一夕成憔悴
'si'liang'you'hen'wu'ren'chu 思量有恨无人处
'si'liang'zhe 思量著
'si'liang'zhi'you'meng'lai'qu 思量只有梦来去
'si'lin'lan'xi 寺临兰溪
'si'lun'diao'er'dou'shou'que 丝纶钓饵都收却
'si'luo'ao 丝罗袄
'si'ma'chu'men'si'gu'xiang 嘶马出门思故乡
'si'ma'chun'shan 司马春衫
'si'ma'de'cao 司马德操
'si'ma'guang 司马光
'si'ma'niu'wen'jun'zi 司马牛问君子
'si'ma'niu'wen'ren 司马牛问仁
'si'ma'niu'you'yue 司马牛忧曰
'si'ma'tu 司马图
'si'ma'yao'bian'he'chu'qu 嘶马摇鞭何处去
'si'ma'za 司马扎
'si'men'tong'ting'cui'shi'yu 寺门同听催诗雨
'si'mian'bian'sheng'lian'jiao'qi 四面边声连角起
'si'mian'fu'rong'kai 四面芙蓉开
'si'mian'fu'yun'cai'shi'ru 四面浮云猜是汝
'si'mian'mian 思绵绵
'si'mian'wu'ren'ju 四面无人居
'si'ming'you'kuang'ke 四明有狂客
'si'mu 四牡
'si'mu'kui'kui 四牡骙骙
'si'mu'ye'ye 四牡业业
'si'mu'yi'yi 四牡翼翼
'si'nian'yong'xiang'sui 思念永相随
'si'qian'bie 思前别
'si'qi'jian'yuan 嘶骑渐远
'si'qi'jing'zhi 肆其靖之
'si'qi'ran 思凄然
'si'qu'he'suo'dao 死去何所道
'si'qu'you'neng'zuo'gui'xiong 死去犹能作鬼雄
'si'qu'yuan'zhi'wan'shi'kong 死去元知万事空
'si'ren'bu'ke'wen 斯人不可闻
'si'ren'du'qiao'cui 斯人独憔悴
'si'ren'hai'gu'xiang'cheng'zhu 死人骸骨相撑拄
'si'ren'meng'zi 寺人孟子
'si'ren'qing'chang'he'ren'he 斯人清唱何人和
'si'ren'zhi'yi 斯仁至矣
'si'ruan'xia'qing 丝软霞轻
'si'ru'feng'yun'bian'tai'zhong 思入风云变态中
'si'ru'shui'yun'han 思入水云寒
'si'sheng'an'piao'xiang 四圣暗飘香
'si'sheng'gong'di'liang'jia'shi 死生共抵两家事
'si'sheng'yi'da'yi 死生亦大矣
'si'sheng'zhang'bie'li 死生长别离
'si'shi'bu'jie 四时不节
'si'shi'geng'bian'hua 四时更变化
'si'shi'hang'yan 四时行焉
'si'shi'hao 四时好
'si'shi'jia'jie'shi'chong'yang 四时佳节是重阳
'si'shi'jia'xing'yu'ren'tong 四时佳兴与人同
'si'shi'nian'lai'jia'guo 四十年来家国
'si'shi'ping'fen'you'guo'wu 四十平分犹过五
'si'shi'yin'he'shui'zhou 似是银河水皱
'si'shi'zhi'wu'shi 四十至五十
'si'si'xin'yu'sui 丝丝心欲碎
'si'suan'chu'yan'shi'qun'ye 嘶酸雏雁失群夜
'si'su'yi'yi 斯速已矣
'si'tian'xia'zhi'min'zhi'yan 斯天下之民至焉
'si'ti'bu'qin 四体不勤
'si'tie 驷驖
'si'ti'kang'qie'zhi 四体康且直
'si'tong'gan'ren'qing 丝桐感人情
'si'wan'fa'qing'han 四碗发轻汗
'si'wang'cong'lin'dai 思往从邻贷
'si'wang'shi 思往事
'si'wei'shuang'fei'yan 思为双飞燕
'si'wei'zhi'jun'zi'yi'hu 斯谓之君子已乎
'si'wei'zhi'ren'yi'hu 斯谓之仁已乎
'si'wen'wei'sang 斯文未丧
'si'wo'xiao'yuan 思我小怨
'si'wu'chan'tu'que 四五蟾兔缺
'si'wu'ren 四无人
'si'wu'ren'sheng 四无人声
'si'xiang'sheng'ba'gua 四象生八卦
'si'xiang'yan'she 四乡宴社
'si'xiang'yu'jing'shen 思想与精神
'si'xian'yi'sheng'ru'lie'bo 四弦一声如裂帛
'si'xiao'xing'liu'hui'sao 四校星流彗扫
'si'xue'yang'hua'chui'you'san 似雪杨花吹又散
'si'xu'gai'bian'ru'cang'gou 斯须改变如苍狗
'si'xu'jiu'chong'zhen'long'chu 斯须九重真龙出
'si'yan'qu'si 斯焉取斯
'si'yi'bu'zu'wei'ye'yi 斯亦不足畏也已
'si'yi'er'yi'yi 斯已而已矣
'si'yi'san'qian'sui'yi 死已三千岁矣
'si'yi'shang'shou 柶衣伤手
'si'yi'yi 思依依
'si'you'ren'kai 似有人开
'si'you'you 思悠悠
'si'yuan'bao'man'yi 斯远暴慢矣
'si'yuan'zhu 四园竹
'si'yue'ba'ri 四月八日
'si'yue'nan'feng'da'mai'huang 四月南风大麦黄
'si'yue'ren 思越人
'si'yue'shi 四月时
'si'yue'xiu'yao 四月秀葽
'si'yu'fu'tai'shan 思欲赴太山
'si'yu'ri'e'ming 丝雨日俄明
'si'yu'wei'fu'jie 思欲委符节
'si'yu'yi'dong'gui 思欲一东归
'si'ze'tong'xue 死则同穴
'si'zheng'ke 四征客
'si'zhe'wei'gui'ren 死者为归人
'si'zhi 四纸
'si'zhi 四质
'si'zhi'ren'yi 斯知仁矣
'si'zi'ling 四字令
'si'zuo'lei'zong'heng 四座泪纵横
'si'zuo'mo'bu'tan 四坐莫不叹
'si'zuo'qie'mo'xuan 四坐且莫喧
'si'zuo'wu'yan'xing'yu'xi 四座无言星欲稀
'song'an'shei'xiao'hua 松庵谁笑话
'song'bai'ben'gu'zhi 松柏本孤直
'song'bai'cui'wei'xin 松柏摧为薪
'song'bai'jia'guang'lu 松柏夹广路
'song'bai'sheng'shen'shan 松柏生深山
'song'bai'yi'jing'qu'ling'gong 松柏一迳趋灵宫
'song'bai'you'ben'xing 松柏有本性
'song'bai'zhong'lei'lei 松柏冢累累
'song'bie 送别
'song'bu'lao 松不老
'song'bu'zu'zheng'ye 宋不足征也
'song'chen'zhang'fu 送陈章甫
'song'chou'si 送愁思
'song'chuang'zhu'hu 松窗竹户
'song'chun'chun'qu'ji'shi'hui 送春春去几时回
'song'chun'feng'yu'zui'wu'qing 送春风雨最无情
'song'chun'gui'hou 送春归后
'song'chun'gui'qu 送春归去
'song'chun'pu 送春浦
'song'cui'jiu 送崔九
'song'de'guang 宋德广
'song'di 宋迪
'song'ding 宋鼎
'song'du'shi'si'zhi'jiang'nan 送杜十四之江南
'song'feng'chui'jie'dai 松风吹解带
'song'feng'chui'xing'yu'tuo'yan 松风吹醒玉酡颜
'song'feng'yi'jiu 松风依旧
'song'gang'bi'shu 松冈避暑
'song'gao'bai'he'mian 松高白鹤眠
'song'gu'hong 送孤鸿
'song'gui'qie 送归妾
'song'gui'yun'qu'yan 送归云去雁
'song'gui'zhou 送归舟
'song'han'bu'gai'rong 松寒不改容
'song'huang'ju'li 耸皇居丽
'song'ji 宋济
'song'ji 松髻
'song'jiang'gui 送将归
'song'jiang'qing 松江清
'song'jian'ming'yue'chang'ru'ci 松间明月长如此
'song'jian'sha'lu'jing'wu'ni 松间沙路净无泥
'song'ji'lou'wei'yue 松际露微月
'song'jing'jing 宋璟璟
'song'jin'jian'zhao'geng'chu'you 送尽践着更出游
'song'jin'xing'ren 送尽行人
'song'jin'ya'cheng'dian 送尽鸦成点
'song'jun'ba'ling'ting 送君灞陵亭
'song'jun'bu'jue'you'li'shang 送君不觉有离伤
'song'jun'nan'pu 送君南浦
'song'jun'zou'ma'gui'jing'shi 送君走马归京师
'song'ke'chong'xun'xi'qu'lu 送客重寻西去路
'song'ke'pen'pu'kou 送客湓浦口
'song'ke'wu'gao 送客吴皋
'song'le'xie'yang'yue'you'sheng 送了斜阳月又生
'song'liang'cheng'chou'zuo'xing'se 送两城愁作行色
'song'ling'che 送灵澈
'song'li'qing'zhao 宋李清照
'song'li'yuan'gui'pan'gu'xu 送李愿归盘谷序
'song'lu'ti'xing 送卢提刑
'song'meng'hao'ran'zhi'guang'ling 送孟浩然之广陵
'song'ming'yue'zhi'shi 诵明月之诗
'song'qian'zeng 送千增
'song'qie'cheng'yin 松惬成阴
'song'qin'zhong'zhu'ren'yin 送秦中诸人引
'song'qi'qiu 宋齐丘
'song'ren'dong'you 送人东游
'song'ru'di'mei 送入低眉
'song'ru'gai 松如盖
'song'ruo'hua 宋若华
'song'ruo'zhao 宋若昭
'song'sao'gui'zi 松梢桂子
'song'sao'pian'pian'qing'ou'luo 松梢片片轻鸥落
'song'sao'yue 松梢月
'song'seng'gui'ri'ben 送僧归日本
'song'shang'ren 送上人
'song'sheng'wan'chuang'li 松声晚窗里
'song'shi'san'bai 诵诗三百
'song'shu'gu 送述古
'song'si'zai 讼斯在
'song'song'duo'qiong'lu 送送多穷路
'song'sui'ke'wu'shi 送岁可无诗
'song'su'shi 宋苏轼
'song'tao'ying'huo'chong'shui'dian'zhan'de'deng'guang 松涛萤火虫水电站的灯光
'song'wan 宋琬
'song'wei'wan'zhi'jing 送魏万之京
'song'wen'zhang 松文丈
'song'wo'chu'yuan'jiao 送我出远郊
'song'wo'jin'ye'yue'yang'lou 送我今夜岳阳楼
'song'wo'zhi'shan'xi 送我至剡溪
'song'wu'guang 宋务光
'song'xiao'se 送晓色
'song'xia'qing'zhai'zhe'lou'kui 松下清斋折露葵
'song'xia'wen'tong'zi 松下问童子
'song'xing'ren 送行人
'song'xing'ren'qu 送行人去
'song'yang'shi'nv 送杨氏女
'song'ye'kan'wei'jiu 松叶堪为酒
'song'yong 宋雍
'song'you'ren'ru'shu 送友人入蜀
'song'yu 宋昱
'song'yuan 宋媛
'song'yue'sheng'ye'liang 松月生夜凉
'song'yue'ye'chuang'xu 松月夜窗虚
'song'yue'ye'chuang'xu 松月夜窗墟
'song'yun'qin'shu'jiu'li'ju 嵩云秦树久离居
'song'yu'wu'chou'yi'zi'chou 宋玉无愁亦自愁
'song'zheng'yi 送征衣
'song'zhi'wen 宋之问
'song'zhi'yi'he'jin 松枝一何劲
'song'zhou 松洲
'song'zhu'ben'wu'jia 松竹本吾家
'song'zhu'da'ru'qin 送朱大入秦
'song'zi'hou 宋子侯
'song'zi'she'qi 送子涉淇
'song'zi'yi'jian'qu 送子以贱躯
'song'zi'zhou'li'shi'jun 送梓州李使君
'song'zong'yu'yi'lang'dong'xing 送纵宇一郎东行
'sou'jiao'xiong'zhong'wan'juan 搜搅胸中万卷
'sou'luo'shen'gui'ju'xiong'yi 搜罗神鬼聚胸臆
'sou'yu'qi'yang'cheng'xiong'jun 搜于岐阳骋雄俊
'suan'an'suo 算暗锁
'suan'an'zhong 算暗中
'suan'bai'hua 算百花
'suan'chao'shui'zhi'ren'zui'ku 算潮水知人最苦
'suan'dang'nian 算当年
'suan'deng'xian 算等闲
'suan'de'ren'jian'tian'shang 算得人间天上
'suan'de'yi'jia 算得伊家
'suan'er'jin'zhong'dao'xu'jing 算而今重到须惊
'suan'feng'cuo 算风措
'suan'fu'sheng'shi 算浮生事
'suan'gong'ming 算功名
'suan'he'zhi 算何止
'suan'he'zuo'ping'ju'zhen'du'cai 算合作平居鸩毒猜
'suan'ji'fan'zhao'wo 算几番照我
'suan'jin'nian'yi'jiu 算今年依旧
'suan'jiu'qu'hong'fen'jie'nan'bi 算九衢红粉皆难比
'suan'kong'you'bing'dao 算空有并刀
'suan'lai'shi'shang'he'ceng'you 算来世上何曾有
'suan'lai'yi'meng'fu'sheng 算来一梦浮生
'suan'mei'ge'ren'chuan'yu 算没个人传与
'suan'meng'guang 算孟光
'suan'mi'yi'you'huan 算密意幽欢
'suan'nian'lai 算年来
'suan'nian'nian 算年年
'suan'ping'rong'wan'li 算平戎万里
'suan'qian'yan 算前言
'suan'ren'jian'ci'di 算人间此地
'suan'ren'jian'zhi'ji'wu'he'ru 算人间知己吾和汝
'suan'shan'du'kuo 蒜山渡阔
'suan'shang'xin 算赏心
'suan'shen'xian 算神仙
'suan'shi'ren'xiang'de 算诗人相得
'suan'shui'jiang'jin'lian 算谁将金莲
'suan'shui'zai 算谁在
'suan'tian'hong'ke'a'shei'zhi 酸甜红颗阿谁知
'suan'wei'di 算未抵
'suan'xie'ke'yan'zhong 算谢客烟中
'suan'ye'nan'wang'jin'xi 算也难忘今夕
'suan'ying'ju'shang'xiao'de 算应局上销得
'suan'zhi'you 算只有
'suan'zhi'you'yin'qin 算只有殷勤
'su'bai'lu'zhou 宿白鹭洲
'su'e'hui'dan'lv 素娥辉淡绿
'su'e'lin'ye'xin'shu'xi 素娥临夜新梳洗
'su'e'shen 素娥深
'su'e'wei'yu'yue 素娥惟与月
'su'e'xin'lian'jiu 素娥新链就
'su'fu 宿府
'su'guan 素冠
'su'guang'lian'jing 素光练静
'su'guang'ru'lian 素光如练
'su'guang'wen 苏广文
'su'guang'yao'zhi 素光遥指
'su'gui 苏瑰
'su'he'xiang 苏合香
'su'hua'duo'meng'bie'yan'qi 素花多蒙别艳欺
'su'huan 苏涣
'su'hui'cong'zhi 溯洄从之
'su'hun'liu 素魂流
'sui'ai'xin'sheng 虽爱新声
'sui'bu'dei'yu 虽不得鱼
'sui'bu'neng'yan 虽不能言
'sui'bu'wo'yu 岁不我与
'sui'bu'wu'yi 虽不吾以
'sui'cheng'zhi'ji 遂成知己
'sui'che'xin'ma 随车信马
'sui'chu'huan'xi 随处欢席
'sui'chu'lun'hui'jing 遂出轮回境
'sui'chun'qie'kan'gui'he'chu 随春且看归何处
'sui'cun'he'suo'dang 虽存何所当
'sui'dei'wei'shi 虽得委食
'sui'di'san'yue'shui'rong'rong 隋堤三月水溶溶
'sui'di'yuan 隋堤远
'sui'du'jiang'tian'ma'nan'lai 岁渡江天马南来
'sui'fen'bei'pan 随分杯盘
'sui'feng'gui'qu 随风归去
'sui'feng'man'di'dan'luan'zou 随风满地石乱走
'sui'feng'piao'dang'yi'kan'chou 随风飘荡已堪愁
'sui'feng'ren'zu 岁丰人足
'sui'feng'sheng'zhu'yu 随风生珠玉
'sui'feng'yuan'piao'yang 随风远飘扬
'sui'fen'liang'ju 随分良聚
'sui'fu'yi'kui 虽覆一篑
'sui'gong 隋宫
'sui'han'ban'lv 岁寒伴侣
'sui'han'feng'wei 岁寒风味
'sui'han'song'bai'ken'jing'qiu 岁寒松柏肯惊秋
'sui'han'song'zhu'san'yi 岁寒松竹三益
'sui'han'zhi'song'bai 岁寒知松柏
'sui'he'kuan'bo 虽褐宽博
'sui'hua'duo'xing'cheng'rui 岁华多幸呈瑞
'sui'hua'du'shun'xi 岁华都瞬息
'sui'hua'jin'yao'luo 岁华尽摇落
'sui'hua'yi'ren'wei'xi'feng 岁华一任委西风
'sui'hui'zhi'you'jin 岁会知犹近
'sui'jiang'ling 岁将零
'sui'jiang'wan 岁将晚
'sui'jiao'fang'shi'yin'qin'mi 遂教方士殷勤觅
'sui'ji'wo'si 遂及我私
'sui'jun'zhi'dao'ye'lang'xi 随君直到夜郎西
'sui'kan'zhui'lou'huan'ma 虽看坠楼换马
'sui'lao'gen'mi'zhuang 岁老根弥壮
'sui'lei'bai'shi 虽累百世
'sui'ling'dong'hai'bian'sang'tian 遂令东海变桑田
'sui'ling'dong'shan'ke 遂令东山客
'sui'ling'tian'xia'fu'mu'xin 遂令天下父母心
'sui'ming'jiu 遂命酒
'sui'mu'chang'kai'kang 岁暮常慨慷
'sui'mu'gui'nan'shan 岁暮归南山
'sui'mu'huai'bai'you 岁暮怀百忧
'sui'mu'nai'lai'gui 岁暮乃来归
'sui'mu'yi'he'ru 岁暮意何如
'sui'mu'yi'he'su 岁暮一何速
'sui'mu'yin'yang'cui'duan'jing 岁暮阴阳催短景
'sui'neng'sha'hua'gong 虽能杀画工
'sui'qian'wan'ren'wu'wang'yi 虽千万人吾往矣
'sui'qing'sui'yu'yi'chuan'jin 随晴随雨一传筋
'sui'qu'qian'qian 岁取千千
'sui'ran'bu'jian'ren'tou'la 虽然不见人头落
'sui'ran'li'ming'bing'bu'yao'yuan 虽然黎明并不遥远
'sui'ran'zai'cheng'shi 虽然在城市
'sui'ren'chu'chu'hang 随人处处行
'sui'reng'da'shou 岁仍大熟
'sui'ren'zuo'ji'zhong'hou'ren 随人作计终后人
'sui'ri 岁日
'sui'rou'xie'zi'pao'zhi 碎揉些子抛掷
'sui'shan'dao'shui'yuan 随山到水源
'sui'shang'zhi'bu'qie 虽赏之不窃
'sui'shan'jiang'wan'zhuan 随山将万转
'sui'shan'wang'jun'ge 随山望菌阁
'sui'sheng'yi'ke'zhi 虽生意可知
'sui'shi'bu'jian 遂事不谏
'sui'shi'dong 随师东
'sui'shi'fu'la'zou'cun'weng 岁时伏腊走村翁
'sui'shi'shui'lin'lin 碎石水磷磷
'sui'shou'ran'deng'ji 虽受然灯记
'sui'shu'shi'cai'geng 虽疏食菜羹
'sui'sui'chang'ru'jiu 岁岁长如旧
'sui'sui'chang'xiang'jian 岁岁长相见
'sui'sui'chong'yang 岁岁重阳
'sui'sui'chun'cao'sheng 岁岁春草生
'sui'sui'hua'kai'zhi'zi'pan 岁岁花开只自攀
'sui'sui'jin'he'fu'yu'guan 岁岁金河复玉关
'sui'sui'nian'nian'tong'ci'wei 岁岁年年同此味
'sui'su'wo'song 虽速我讼
'sui'su'wo'yu 虽速我狱
'sui'tian'di'zhi'da 虽天地之大
'sui'wan'bei'lu 虽万被戮
'sui'wan'cheng'tao'zai'xue'er'xia 岁晚乘涛载雪而下
'sui'wan'ke'duo'bing 岁晚客多病
'sui'wan'nian'hang'yi 岁晚念行役
'sui'wan'tian'yuan 岁晚田园
'sui'wu'bin'zhu'yi 虽无宾主意
'sui'wu'mo'ce'dao'shen'zhou 遂无末策到神州
'sui'wu'xuan'bao'zi 虽无玄豹姿
'sui'xi'zhu'yan'ke'zhao 虽喜朱颜可照
'sui'xu'zhen'ci'neng'ju'gong 睢盱侦伺能鞠躬
'sui'yan'dao'nan'zhou 随雁到南州
'sui'ye'gao'tang'lie'ming'zhu 岁夜高堂列明烛
'sui'yi'bei'pan'sui'cao'cao 随意杯盘虽草草
'sui'yi'chun'fang'xie 随意春芳歇
'sui'yi'hao'er'mo'qu 虽一毫而莫取
'sui'yi'mo'zhi 岁亦莫止
'sui'yi'yang'zhi 岁亦阳止
'sui'yi'zhuan'chuan'hui'zhao 随意转船回棹
'sui'yi'zuo'mei'tai 随意坐莓苔
'sui'you'gao'pu 虽有槁暴
'sui'you'gong'jian'he'suo'shi 虽有弓剑何所施
'sui'you'jue'ding'shui'neng'qiong 虽有绝顶谁能穷
'sui'you'rong'guan 虽有荣观
'sui'you'zhi'hui 虽有智慧
'sui'you'zhou'qin 虽有周亲
'sui'yue'guo'heng'gou 随月过横沟
'sui'yue'hu'yi'wan 岁月忽已晚
'sui'yue'ren'jian'cu 岁月人间促
'sui'yue'wei'xue 虽曰未学
'sui'yu'fu'li'yao 虽与府吏要
'sui'yu'wu'yong 虽欲勿用
'sui'yu'zhi'ju'chu 遂与之俱出
'sui'zan'que 虽暂缺
'sui'ze'ru'tu 虽则如荼
'sui'ze'ru'yun 虽则如云
'sui'zhe'zhong'hua'min'zu'de 随着中华民族的
'sui'zhi'bian'zhi'shi 虽执鞭之士
'sui'zhi'da'mi 虽智大迷
'sui'zhi'si'lai 绥之斯来
'sui'zhi'yi'di 虽之夷狄
'su'jian 苏检
'su'jin'chang'zhai'xiu'bi'qian 苏晋长斋绣佛前
'su'jing'jiang'lan 素景将阑
'su'jiong 苏泂
'su'jiu'cai'xing'yan'yu'zhi 宿酒才醒厌玉卮
'su'kong'shi'xi 素空似洗
'su'lian'hong'mei 素脸红眉
'su'lu'qi'yuan'sha 宿鹭起圆沙
'su'mai'sheng'zhe'xi 宿麦生者稀
'su'mei'chou'ju 宿眉愁聚
'su'men'guo'you'zhong'chen'zai 苏门果有忠臣在
'sun'chu'xuan 孙处玄
'sun'ding 孙定
'sun'fang 孙鲂
'sun'ge 孙革
'sun'ge'chang'kai 孙阁长开
'sun'gen'zhi'zi'wu'ren'jian 笋根稚子无人见
'sun'gu 孙顾
'sun'guang'xian 孙光宪
'sun'he 孙合
'sun'ju'jing 孙居敬
'sun'lang'liang'ku 孙郎良苦
'sun'lang'wei'xiao 孙郎微笑
'sun'liu'ji'mo 孙刘寂寞
'sun'mou'liang'guo'zhen 孙谋梁国珍
'sun'quan 孙佺
'sun'quan'bu'qi'gu 孙权不欺孤
'sun'quan'yi'cao'shu'yue 孙权遗操书曰
'sun'rui 孙锐
'sun'shou'chou'mei 孙寿愁眉
'sun'wan'shou 孙万寿
'sun'wei 孙纬
'sun'wei'xin 孙惟信
'sun'wo 孙偓
'sun'wu'hui 孙吴会
'sun'xian 孙咸
'sun'xian 孙岘
'sun'yi'chu'zhi 孙以出之
'sun'zhe'san'le 损者三乐
'sun'zhi'you'sun 损之又损
'sun'zhong'mou'chu 孙仲谋处
'sun'zhu'qiu'qian'you'nv'bing 笋柱秋千游女并
'sun'zi'bin'jiao 孙子膑脚
'sun'zi'duan'zu 孙子断足
'suo'chuang'han 锁窗寒
'suo'chuang'han 琐窗寒
'suo'chuang'qiu'yi'ku'wu'duo 琐窗秋意苦无多
'suo'chu'gong'zhu'cui 锁楚宫朱翠
'suo'chu'qi'gui 所出奇诡
'suo'cong'cong'jia'qi 锁葱葱佳气
'suo'de'shi'zhan'yi 所得是沾衣
'suo'e'wu'shi'er'ye 所恶勿施尔也
'suo'han'chuang 琐寒窗
'suo'han'chuang 锁寒窗
'suo'hen'zheng'lun 所恨征轮
'suo'huo'po'duo 所获颇多
'suo'jian'ji'ke'hai 所见既可骇
'suo'jian'ming'zhi 所见明知
'suo'jiao'jin'hao'xiong 所交尽豪雄
'suo'jiu 索酒
'suo'ju'wei'de'lin 所居未得邻
'suo'ju'yi'yong'jiu 索居易永久
'suo'ju'yu'zhou'ye'zheng'huang 索句渝州叶正黄
'suo'li'yi'gou'si 蓑笠一钩丝
'suo'qiong'long'guang'man 锁穹隆光满
'suo'ren'cheng'bu'liang 所任诚不良
'suo'shou'huo'fei'qin 所守或匪亲
'suo'shou'zhi'kong'wei'ke 索手指空为客
'suo'si'zai'yuan'dao 所思在远道
'suo'sui'fu'ping 琐碎浮萍
'suo'suo'bi'man'zui'yi'ren 些些纰缦最宜人
'suo'ta'yi'xiao 索他一笑
'su'ou'chou'tiao'wei'fang'lian 素藕抽条未放莲
'suo'wei'da'zhang'fu 所谓大丈夫
'suo'wei'gu'guo'zhe 所谓故国者
'suo'wei'li'zhi'si'li 所谓立之斯立
'suo'wei'qian'dong'ye 所谓前洞也
'suo'wei'yi'ren 所谓伊人
'suo'wen'liang'ke'bei 所闻良可悲
'suo'xiang'wu'kong'kuo 所向无空阔
'suo'xian'jin'shou'lian'huan'leng 锁衔金兽连环冷
'suo'xi'guang'yin'qu'shi'fei 所惜光阴去似飞
'suo'yang'tai 锁阳台
'suo'yi'chuan'dao'shou'ye'jie'huo'ye 所以传道受业解惑也
'suo'yi'qian'jiang'shou'guan'zhe 所以遣将守关者
'suo'yi'shen'shen 所宜深慎
'suo'yi'yin'ren'gou'huo 所以隐忍苟活
'suo'yi'zhong'ri'zui 所以终日醉
'suo'you'de'hua'ya'he'nen'zhi 所有的花芽和嫩枝
'suo'you'er'qian'zai 所有二千在
'suo'you'xiang 锁幽香
'suo'yu'wu'gu'wu 所遇无故物
'suo'yu'yu'zhi'ju'zhi 所欲与之聚之
'suo'zhu'zi'tong 所住字同
'su'qian'you'shu'jun'xu'dao 素纤有数君须道
'su'qiu'bu'jie'sui'chuan'qu 素秋不解随船去
'su'qiu'xin'ji 素秋新霁
'su'ren'zhao'zhao 俗人昭昭
'su'rong'xiang'tou'rou 酥融香透肉
'su'run'ling'bo'de 酥润凌波地
'su'shan'liu'hou'zhang'liang 素善留侯张良
'su'shou'ba'fu'rong 素手把芙蓉
'su'shou'chou'zhen'leng 素手抽针冷
'su'shou'qing'tiao'shang 素手青条上
'su'shou'shui'jing'pan 素手水晶盘
'su'shou'yu'fang'qian 素手玉房前
'su'si'pi'zhi 素丝纰之
'su'si'wu'tuo 素丝五紽
'su'si'wu'yu 素丝五緎
'su'si'wu'zong 素丝五总
'su'si'zhu 素丝祝
